sample_id,query_hinglish,report_id,report_text,cmi_bucket
PUBMEDQA_0130,Kya evidence conclusive nahi hai? jaldi batao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,high
PUBMEDQA_0131,Is treatment ka clear benefit hai ya nahi?,P005,No clear association was observed between intervention and primary endpoint.,low
PUBMEDQA_0132,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P006,Moderate evidence quality supports short-term efficacy.,medium
PUBMEDQA_0133,Is medical evidence ka short interpretation do. jaldi batao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,high
PUBMEDQA_0134,Please explain: Is treatment ka clear benefit hai ya nahi?,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,low
PUBMEDQA_0135,Please explain: Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0136,Kya evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0137,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P005,No clear association was observed between intervention and primary endpoint.,high
PUBMEDQA_0138,Please explain: kya study me treatment effective dikhaya gaya hai? jaldi batao.,P006,Moderate evidence quality supports short-term efficacy.,high
PUBMEDQA_0139,Please explain: Is medical evidence ka short interpretation do. jaldi batao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,high
PUBMEDQA_0140,Is treatment ka clear benefit hai ya nahi?,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,low
PUBMEDQA_0141,Kya study me treatment effective dikhaya gaya hai?,P003,Study reports improved symptom control with combination therapy.,low
PUBMEDQA_0142,Kya evidence conclusive nahi hai? jaldi batao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,high
PUBMEDQA_0143,Please explain: Is treatment ka clear benefit hai ya nahi?,P005,No clear association was observed between intervention and primary endpoint.,low
PUBMEDQA_0144,Kya study me treatment effective dikhaya gaya hai? jaldi batao.,P006,Moderate evidence quality supports short-term efficacy.,high
PUBMEDQA_0145,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0146,Please explain: Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,medium
PUBMEDQA_0147,Please explain: Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0148,Please explain: Kya evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0149,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P005,No clear association was observed between intervention and primary endpoint.,medium
PUBMEDQA_0150,Please explain: ky study me treatment effective dikhaya gaya hai?,P006,Moderate evidence quality supports short-term efficacy.,low
PUBMEDQA_0151,Is medical evidence ka short interpretation do. jaldi batao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,high
PUBMEDQA_0152,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,high
PUBMEDQA_0153,ky study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0154,kyaa evidence conclusive nahi hai?,P004,Findings are inconclusive due to small sample size and study heterogeneity.,low
PUBMEDQA_0155,Please explain: Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P005,No clear association was observed between intervention and primary endpoint.,medium
PUBMEDQA_0156,kya study me treatment effective dikhaya gaya hai? jaldi batao.,P006,Moderate evidence quality supports short-term efficacy.,high
PUBMEDQA_0157,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0158,Please explain: Is treatment ka clear benefit hai ya nahi? jaldi batao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,high
PUBMEDQA_0159,Please explain: kyaa study me treatment effective dikhaya gaya hai?,P003,Study reports improved symptom control with combination therapy.,low
PUBMEDQA_0160,Kya evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0161,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P005,No clear association was observed between intervention and primary endpoint.,high
PUBMEDQA_0162,Please explain: Kya study me treatment effective dikhaya gaya hai?,P006,Moderate evidence quality supports short-term efficacy.,low
PUBMEDQA_0163,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0164,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,medium
PUBMEDQA_0165,kya study me treatment effective dikhaya gaya hai? jaldi batao.,P003,Study reports improved symptom control with combination therapy.,high
PUBMEDQA_0166,ky evidence conclusive nahi hai? jaldi batao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,high
PUBMEDQA_0167,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P005,No clear association was observed between intervention and primary endpoint.,medium
PUBMEDQA_0168,Please explain: Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P006,Moderate evidence quality supports short-term efficacy.,medium
PUBMEDQA_0169,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0170,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,medium
PUBMEDQA_0171,Please explain: Kya study me treatment effective dikhaya gaya hai?,P003,Study reports improved symptom control with combination therapy.,low
PUBMEDQA_0172,ky evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0173,Is treatment ka clear benefit hai ya nahi?,P005,No clear association was observed between intervention and primary endpoint.,low
PUBMEDQA_0174,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P006,Moderate evidence quality supports short-term efficacy.,medium
PUBMEDQA_0175,Is medical evidence ka short interpretation do.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,low
PUBMEDQA_0176,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,medium
PUBMEDQA_0177,Please explain: kyaa study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0178,ky evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0179,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P005,No clear association was observed between intervention and primary endpoint.,high
PUBMEDQA_0180,kyaa study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P006,Moderate evidence quality supports short-term efficacy.,medium
PUBMEDQA_0181,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0182,Is treatment ka clear benefit hai ya nahi?,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,low
PUBMEDQA_0183,kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0184,Please explain: kyaa evidence conclusive nahi hai?,P004,Findings are inconclusive due to small sample size and study heterogeneity.,low
PUBMEDQA_0185,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P005,No clear association was observed between intervention and primary endpoint.,medium
PUBMEDQA_0186,Kya study me treatment effective dikhaya gaya hai? jaldi batao.,P006,Moderate evidence quality supports short-term efficacy.,high
PUBMEDQA_0187,Is medical evidence ka short interpretation do. Thoda simple samjhao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,medium
PUBMEDQA_0188,Is treatment ka clear benefit hai ya nahi? Thoda simple samjhao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,medium
PUBMEDQA_0189,Kya study me treatment effective dikhaya gaya hai? jaldi batao.,P003,Study reports improved symptom control with combination therapy.,high
PUBMEDQA_0190,Kya evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0191,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P005,No clear association was observed between intervention and primary endpoint.,high
PUBMEDQA_0192,Please explain: Kya study me treatment effective dikhaya gaya hai?,P006,Moderate evidence quality supports short-term efficacy.,low
PUBMEDQA_0193,Please explain: Is medical evidence ka short interpretation do. jaldi batao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,high
PUBMEDQA_0194,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,high
PUBMEDQA_0195,Please explain: kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P003,Study reports improved symptom control with combination therapy.,medium
PUBMEDQA_0196,Kya evidence conclusive nahi hai?,P004,Findings are inconclusive due to small sample size and study heterogeneity.,low
PUBMEDQA_0197,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P005,No clear association was observed between intervention and primary endpoint.,high
PUBMEDQA_0198,Kya study me treatment effective dikhaya gaya hai? Thoda simple samjhao.,P006,Moderate evidence quality supports short-term efficacy.,medium
PUBMEDQA_0199,Is medical evidence ka short interpretation do. jaldi batao.,P001,Evidence suggests corticosteroids can reduce inflammation in selected cases.,high
PUBMEDQA_0200,Is treatment ka clear benefit hai ya nahi? jaldi batao.,P002,Meta-analysis indicates no significant mortality benefit in this cohort.,high
PUBMEDQA_0201,kya study me treatment effective dikhaya gaya hai?,P003,Study reports improved symptom control with combination therapy.,low
PUBMEDQA_0202,kyaa evidence conclusive nahi hai? Thoda simple samjhao.,P004,Findings are inconclusive due to small sample size and study heterogeneity.,medium
PUBMEDQA_0203,Is treatment ka clear benefit hai ya nahi?,P005,No clear association was observed between intervention and primary endpoint.,low
