pair_id,condition,similarity_score,match_quality,zero_shot_output,grounded_output,zero_factual,grounded_factual,zero_hallucination,grounded_hallucination,factual_gain,halluc_reduction
P00785,swollen_tonsils,0.4317,medium,"Arre beta, mere paas aapki image nahin hai, lekin aapke symptoms ke liye main kuchh guess kar sakta hoon. Aapke muh mein sukha pan, brown mucous khansi, aur khana-peena mushkil ho rahi hai, yeh sab symptoms viral ho jaane ka lakshan hai. Uvula aur tonsils lal hone ka matlab hai ki aapko viral infection ho sakti hai, jaise ki common cold ya sore throat. Main aapko antibiotics nahin diya kar sakta, lekin aapko thoda thanda paani peena, garam chai ya coffee peena, aur thoda garam aur masaledaar khana khaana chahiye.","Bhai, main dekh raha hoon ki tumhare muh mein sukha mahsoos hota hai aur khana-peena mushkil hai, sirf paani except hai. Tumhare paas brown mucous ki khansi bhi hai. Ye cheez char din se ho rahi hai. 

Main dekh raha hoon ki tumhare clinical findings mein generalized proliferative gingival maxillary lesions aur inflammatory and reactive hyperplastic lesions hain. Lekin yeh cheezon se koi direct connection nahi hai. 

Lekin tumhare symptoms aur clinical findings ke hisab se, main kuchh cheezon par dhyan dena chahunga. Tumhare muh mein sukha aur brown mucous ki khansi ho rahi hai, jo ki infection ke liye kuchh evidence deta hai. Lekin main koi confirmatory evidence nahi dekh sakta. 

Main tumhare doctor se baat karne ke liye kahaunga ki tumhare symptoms aur clinical findings ko dekhkar, humein tumhare infection ke liye investigate karna hoga.",0.0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666667
P00786,swollen_tonsils,0.5066,high,"Beta, main tumhare dar ke liye kuchh shanti de sakta hoon. Tonsil ki problem aapke case mein bahut common hai. Antibiotics ke baad bhi problem aane par, humein yah sochna chahiye ki yah koi viral infection ho sakta hai ya koi anya reason hai. 

Tumhare symptoms aur safed spots ke saath, herpes ya mononucleosis (mono) jaisi viral infections ka khayal hai. Lekin cancer ka khayal bhi hai, lekin yah bahut kam sambhav hai. ENT doctor se baat karne ke baad hi humein sahi diagnosis mil sakta hai. Ab aapko thoda patience rakhna hoga aur ENT doctor se baat karne ke liye taiyar rahna hoga.","Bachche, tumhare symptoms aur clinical signs IM (Infectious Mononucleosis) ka anuroop hain. Tonsil ki swelling aur white exudates, infra-auricular lymph nodes ki swelling aur pain, aur neck lymph nodes ki palpability IM ka pramukh lakshan hain. Positive EBV VCA-IgM test ne bhi IM ka nishkarsh diya hai. 

Tumhari chinta herpes ya cancer ke liye hai, lekin clinical evidence mein yeh kuchh nahin hai jo is prakar ki sambhavana ko sahi karta hai. Tumhari throat cultures mein strep ke liye negative aaya hai, aur tumne teen baar antibiotics liye hain. Ab tum ENT doctor ke saath appointment ke liye ja sakte ho aur unse apne symptoms ke baare mein puch sakte ho.",0.75,0.75,0.25,0.25,0.0,0.0
P00787,swollen_tonsils,0.5029,high,"Arre beti, tumhare symptoms bahut hi samajhne mein aaye hain. Tonsils ke yellow spots aur gale laal hone ke sath nigalne mein dard, yeh sab symptoms throat infection ke liye kaarak hain. Lekin, agar tumne kabhi strep throat nahi hua hai, to isme koi samasya nahin hai. 

Maine suna hai ki tumhara mouth rinse karne se thoda relief mil raha hai, isliye aapka kaam theek se ho raha hai.","Arre beta, maine dekha hai ki tumhare gale laal hain aur nigalne mein dard hota hai. Tumhare tonsils ke taraf yellow spots hain, lekin yeh symptoms tumhare case mein mention nahi kiye gaye hain. Main kuch confirm nahi kar sakta.",0.0,0.0,1.0,1.0,0.0,0.0
P00788,swollen_tonsils,0.5015,high,"Arre bhai, aapki chinta zaroori hai. Yeh symptoms bahut hi serious hain. Neck me dard, headache, lymph nodes ka sujan, aur aapne kaha ki usko chakkar aaye hain, yeh sab viral fever ya meningitis ka symptoms ho sakte hain. Aur aapne bhi kaha ki uske ankhon ki sirahiyan hain, yeh infection ka sign hai. Main aapko ek doctor se milne ki salah dunga, woh aapko proper checkup karenge aur treatment diyenge.","Beta, aapki baat suni. Aapke bete ki symptoms bahut similar hain iske pehle hospitalization ke symptoms se. Lymphadenopathy, neck me dard, headache, aur ankhon ki choti choti sirahiyan hain. Iske alawa, aapne bhi notice kiya hai ki uske kaanon me ghanti bajti rahi hai aur chakkar aaye hain. Ye sab symptoms iske lymphoma ya kuchh anya bimari ke liye indicate kar sakte hain. Lekin, iske liye puri tarah se diagnosis karne ke liye doctor ko test karna hoga. Aapko chinta karne ki zarurat hai, lekin abhi tak koi confirmatory evidence nahi hai.",0.8,0.5,0.2,0.5,-0.3,-0.3
P00789,swollen_tonsils,0.5887,high,"Bhai, aapka dar jaanakar hai. Impacted wisdom teeth ke baad infection ho sakta hai. Jaise aap keh rahe hain ki left side ke gardan mein sujan hai aur lymph nodes mein bhi, yeh infection ka sign hai. Aur jab aap apna sir idhar udhar karate hain toh dard hota hai, yeh socket mein infection ke karan hota hai.","Bhai, tumhare case mein kuchh similar symptoms hain, lekin humein kuchh cheezein confirm nahin kar sakte. Tumhare wisdom teeth nikalne ke baad tumhe left side ke gardan mein tonsil aur lymph nodes mein sujan hai, aur mandibular/jaw area mein bhi. Lekin clinical evidence mein kaha gaya hai ki tumhare case mein generalized proliferative gingival maxillary lesions hain, jismein palatal swelling aur palpable right submandibular lymph node hai. Left side ki socket kaafi gehri hai, lekin humein kuchh cheezein confirm nahin kar sakte.",0.5,0.75,0.5,0.25,0.25,0.25
P00792,neck_swelling,0.5182,high,"Arre bhai, main tumhe theek lagta hoon. Ye dard aur lalima infection ke karan ho sakti hai. Amoxicillin diya gaya hai, lekin agar infection bahut jyaada ho gayi hai, toh yeh symptoms ho sakte hain. Kya aapko koi fever bhi ho rahi hai ya koi aur symptoms?","Bhai, maine dekha hai ki aapke gaal ke paas kuch problem hai. Clinical evidence ke anusaar, aapke parotid duct mein laceration hai, jisse aapke gale mein dard aur lalima ho rahi hai. Aapke facial nerve intact hai, lekin parotid duct ki injury hai. Aapko pehle amoxicillin diya gaya tha, aur phir 21 din pehle tooth extract karwaya gaya tha.",0.0,0.25,1.0,0.0,0.25,1.0
P00793,lip_swelling,0.5077,high,"Arre bhai, aapka jawbone par ganth aaya hai, ismein dard nahi hone ke liye dabav na lagana hai, yeh theek hai. Aapka hothon ka rang safaid hone se pata chalta hai ki aapko infection ho sakti hai. Main aapko ek antibiotic tablet dene ka suggestion karta hoon, isse infection kam ho jayegi aur aapka jawbone theek ho jayega.","Arre bhai, maine dekha hai ki tumhare jawbone par ek bade matar ke aakaar ka ganth hai, lekin iska matlab yeh nahin hai ki tumhari skin swollen hai. Clinical Signs ke anusaar, tumhare skin color aur temperature normal hai. Jab tak dabav na lage, dard nahi hota, iska matlab yeh hai ki dard ka karan ganth hi hai.",0.0,0.0,1.0,1.0,0.0,0.0
P00796,mouth_ulcers,0.5533,high,"Aapka sawal bahut achha hai. Mere vichar mein, aapke trauma ke baad hone wali sore patch, ulcer aur inflamed papillae ka karan aapke molar ke trauma se hi ho sakta hai. Sath hi, aapke mouth mein hamesha feel hone aur food trap hone ka karan bhi aapke molar ke gap aur sharp filling ki edge se ho sakta hai. Ye sabhi cheezein aapke molar ke trauma ke side effects ho sakti hain.

Mujhe lagta hai ki aapke root canal ke plan se aapke samasya ka samadhan ho sakta hai. Is dauran, aapko apne molar ke gap ko cover karne ke liye ek temporary crown ya filling lagwane ki zaroorat ho sakti hai. Sath hi, aapko apne molar ke trauma ke karan hone wali soreness aur ulcers ko control karne ke liye pain relievers aur mouthwash ka upyog karna chahiye.","Arre bhai, maine dekha hai ki aapke molar mein trauma ho gaya tha aur ab aapko har mahine ya 3 hafte mein sore patch mouth par hota hai. Aapke molar mein gap bhi ban gaya hai aur filling ki edge sharp hai, jisse aapko food trap ho raha hai aur tooth inflamed ho raha hai. 

Main aapko yeh batata hoon ki clinical evidence mein koi jikr nahin hai ki impacted third molar (asymptomatic) pain, soreness ya ulcers ko cause kar sakta hai. Lekin aapke molar mein trauma ho gaya tha, jisse aapko sore patch aur inflamed papillae ho raha hai. 

Main aapko yeh sujhav deta hoon ki aapko root canal karwane ka plan hai, jisse aapki problem solve ho sakti hai.",0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0
P00798,mouth_ulcers,0.5061,high,"Namaste, main aapki baat sunne ke liye taiyar hoon. Aapki symptoms bahut hi ghatiya hain. Ye sambhav hai ki aapko oral thrush ho sakta hai, jismein munh ke andar ulcer hota hai. Iske alawa, aapke symptoms oral lichen planus, mouth ulcers ya even mononucleosis (mono) ke liye bhi indicative hain. Main aapko ER jana ya doctor ke paas appointment lena sunaunga, lekin main aapko ek appointment doctor ke paas sunaunga, woh aapki symptoms aur physical examination ke baad hi aapki diagnosis aur treatment ke liye upyukt tareeke se aapko guide karega.","Namaste, main aapki baat sun raha hoon. Lekin, main aapki symptoms se koi connection nahin kar sakta hoon. Aapka case aur patient ke case mein koi saman nahi hai. Aapka case mein ulcers, dard, sujan, aur pink-eye ki taklif hai, jo patient ke case mein nahin hai. Main aapko koi specific diagnosis nahin de sakta hoon. Main aapko ER jana ya doctor ke paas appointment lena chahiye, lekin iske liye main aapko doctor se baat karna chahiye.",0.0,0.0,1.0,1.0,0.0,0.0
P00799,edema,0.5438,high,"Bilkul, main samajh sakta hoon. Aapke symptoms bahut chintit karne wale hain. Pehle to aapke SLE (विकेटेड-सिस्टेमिक-लुपस-इरिथ्रोमाईटोसिस) ke karan aapko renal tubular acidosis aur medullary sponge kidneys ho sakte hain, jisse aapko severe pain aur dizziness ho rahi ho. Lekin aapke pichhle 2 saal mein bahut weight badhne ka karan aur diabetes ki chinta hai, yeh kuch aur ho sakta hai. Main aapko ek endocrinologist se milne ke liye kahaunga, jisse hum aapke blood sugar level check kar sakte hain aur aapke symptoms ka theek se treatment kar sakte hain.","Arre bhai, main aapki baat samajhne ki koshish karunga. Aapke symptoms, jaise ki legs mein severe pain, dizziness, blurred vision, aur kamzor mehsus hone ka, ismein WNV infection ka sambhav hai. Aapke symptoms aur clinical signs, jaise ki hypotension aur fever, WNV infection ke symptoms se match karte hain. 

Aapko pichhle 2 saal mein weight bahut jyada badhne ka bhi kaha gaya hai, jisse diabetes ka sambhav hai, lekin yeh WNV infection ka direct karan nahin hai. Aapko apne doctor se baat karni chahiye aur unse diabetes ke liye check-up karwana chahiye.",1.0,1.0,0.0,0.0,0.0,0.0
P00801,foot_swelling,0.4269,medium,"Bhai, aapka blood pressure raat ko badhne ka sawal bahut accha hai. Aap benzapril 10-20 mg le rahe hain, lekin yeh dard aur tangon mein dard ke liye bhi ho sakta hai. Aapke symptoms kidney, diabetes aur liver ke liye blood test aur ultrasound ke results ke anusaar theek lagte hain, lekin aapke ghutne, tangon aur paon mein dard ke liye doosri cheezon ka bhi dhyan dena hoga. Aapko apne doctor se phir se milna chahiye aur unhe apne symptoms ke bare mein batana chahiye.","Bhai, aapke symptoms aur clinical signs ke anusaar, aapke paas Proximal Hamstring Tendinopathy (PHT) hai. Iska arth hai ki aapke hamstring muscle ke upar wala hissa affected hai. Aapke symptoms, jaise ki deep buttock pain, run training par aur prolonged sitting par badhne wala dard, VAS score 7/10, aur clinical signs, jaise ki Puranen-Orave test, bent-knee stretch test, aur supine plank test, sab yah dikhate hain ki aapke paas PHT hai.",0.25,0.0,0.0,1.0,-0.25,-1.0
P00804,cyanosis,0.6434,high,"Chronic peripheral cyanosis ke karan bahut se ho sakte hain, lekin aapke case mein low blood pressure aur corrected Chiari malformation ka samna karne wala ek karan ho sakta hai. Aapke symptoms aur condition ke hisaab se, shayad aapke blood pressure ki kami se aapke peripheral vahikaran mein oxygen ki kami ho rahi ho, jisse cyanosis ho rahi ho. Hum aapke symptoms aur condition ke liye aur test karenge.","Bhai, aapke symptoms aur clinical signs ke liye main kuchh cheezain dekh sakti hoon. Aapke paas cardiac mass hai, jo left ventricle outflow tract mein hai. Iska karan aapke paas dyspnea on exertion hai. Lekin, aapke paas chronic peripheral cyanosis ke karan ke bare mein kuchh nahi bataya gaya hai. Main aapke paas chronic low blood pressure ke saath juda hua chronic peripheral cyanosis ka karan nahi pata kar sakoon.",0.0,0.5,1.0,0.5,0.5,0.5
P00808,swollen_tonsils,0.4922,medium,"Arre bhai, tumhare symptoms bahut hi interesting hain. Jab gale mein lymph nodes aur glands sujaye hote hain aur throat sore hota hai, toh yeh viral infection ya bacterial infection ka sign ho sakta hai. Lekin tingling sensation aur garam underarms ke sath, yeh possible hai ki tum viral infection ke baad post-viral syndrome ke symptoms dekh rahe ho. Hum kuchh test karke aur baat karke hi aasani se pata lag sakte hain ki yeh kya hai.","Bhai, aapke symptoms aur examination report ke anusaar, main aapko yeh batata hoon ki aapke underarms mein garam hona aur tingling sensation ho raha hai, lekin clinical evidence mein yeh baat nahi hai. Lekin aapke gale mein lymph nodes aur glands ki sujaya hui thi, jisse sore throat tha. 

Ab, aapne Amox/K Clav 875 125 mg liya aur aapke gale ki problem kam hui hai aur throat clear hai. Lekin, clinical evidence mein yeh baat nahi hai ki aapke underarms mein garam hona aur tingling sensation ho raha hai. Main is baat ka jawaab de sakta hoon ki aapko koi specific diagnosis nahi diya gaya hai.",0.0,0.0,1.0,1.0,0.0,0.0
P00810,skin_rash,0.5695,high,"Arre bhai, aapke symptoms bahut hi ghatiya hain. Body ache, low-grade fever, extreme fatigue aur loss of appetite sab kuch virus ke symptoms hain. Lekin yeh bhi sambhav hai ki aapko skin infection ho gayi hai, jiska naam dermatitis ya heat rash ho sakta hai. Aapko zaroor medical attention leni chahiye, kyonki yeh symptoms kisi bhi bimari ke sign ho sakte hain.","Bhai, aapko 5 din pehle symptoms shuru hue the, jismein minor body aches, low-grade temp, extreme fatigue, aur loss of appetite the. Aapka fever kam ho gaya hai, lekin aapke chehre, gardan, haatho par, aur muh ke andar skin mein redness aur kuch problem ho gayi hai. 

Aapne Cuba se wapis aaya hai, lekin yeh information aapke symptoms ke liye relevant nahi hai. Aapki health excellent hai, lekin aapko meningitis ke symptoms hain, jaise fever, headache, aur meningeal signs. Aapko medical attention leni chahiye.",0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0
P00811,skin_rash,0.456,medium,"Bhai, aapki chinta kuch jyada hai. Ye patla sa layer clear aur white dikh raha hai, to shayad yeh vaseline ki wajah se hai. Lekin, agar aapko lagta hai ki yeh skin par kuch problem hai, to humein zaroorat hai ki aapko doctor ko dekhna chahiye. Main aapko ek doctor ko bulana chaahta hoon, woh aapki samasya ko solve kar sakte hain.","Arre bhai, maine dekha hai ki tumhare upper eyelid par blue-black linear marks hain, aur ye marks 6 mahine se hai. Ye marks surgical marker ka karan ho sakte hain, jise preoperative preparation ke liye use kiya gaya tha. Dermoscopy mein bhi ye marks dekhe gaye hain. Main aapko kahaunga ki tumhare case mein exogenous pigment residue ka karan hai.",0.25,0.25,0.0,0.0,0.0,0.0
P00812,swollen_tonsils,0.4294,medium,"Arre bhai, maine dekha hai ki aapke sinuses khul gaye hain, lekin dard aur pressure hai. Yeh symptoms bahut common hain sinusitis ke liye. Aapke dard aankhon ke neeche, mathhe aur peeth mein hone ke liye, main sochta hoon ki aapke sinuses se infection ho sakta hai. Aapko antibiotics aur Flonase le raha hai, lekin agar symptoms badh rahe hain, to doctor se meeting karne ki zaroorat hai.","Bhai, maine dekha hai ki tumhare symptoms bahut kuch hain. Tumhare sinuses khul gaye hain, naak beh rahi hai, aur pressure aur dard hai. Dard aankhon ke neeche, beech wale mathhe aur peeth mein hai. Ye symptoms thyroid ke karan ho sakte hain, kyonki tumhare thyroid mein melanotic medullary carcinoma hai, jo amyloid production karta hai.",0.0,1.0,1.0,0.0,1.0,1.0
P00814,knee_swelling,0.5304,high,"Arre beta, main samajh gaya. Knee replacement ke baad muscle cramp aur sakhtai common baat hai. Blood blister jaisa tissue damage ho sakta hai, isliye ultra sound treatment karwana theek hai. Lekin physical therapist ke baad bhi sakhtai aur flexibility ki kami hai, to humein ismein kuch aur karwana hoga. Main aapko ek orthopedic specialist se milwana chahunga, woh aapke pati ke liye behtar tareeke se treatment ka plan bana sakte hain.","Arre bhai, maine dekha ki aapke pati ki primary problem hallux deformity hai, jo unke dainik kaam ke liye ek floor scrubber kaam karte hue ho sakti hai. Aapke pati ki symptoms pain aur stiffness hai, jo ultra sound ke dauran ek bada blood blister jaisa kuch dikhai diya hai. 

Main aapke pati ki sakhtai aur flexibility ki kami ke liye chinta kar sakta hoon, lekin yeh clinical evidence se nahi pata chalta hai. Hum aapke pati ki physical therapist ke saath milke is vartaman halat ko dekhenge.",0.25,1.0,0.0,0.0,0.75,0.0
