pair_id,condition,similarity_score,match_quality,hinglish_query,zero_shot_output,grounded_output,zero_factual,grounded_factual,zero_hallucination,grounded_hallucination,factual_gain,halluc_reduction
P02175,skin_rash,0.3438,low,Mere kaan peeche keechad hai jo is hafte hi hai. Wo ek kan se shuru hua aur phir agle din dusre kan tak gaya... kuch din ho gaye hain aur maine unhe touch karne se bachane ki koshish ki hai. Lekin mai,"Aapke kaan ke peeche keechad aur khujli ho rahi hai, yeh ek common problem hai, lekin aapki skin ki image dekhne ke baad hi kuchh keh sakte hain. Aapne jo bataaya hai, usse lagta hai ki yeh ek fungal infection ya allergic reaction ho sakta hai, jo aapke headphones ke kaaran ho raha hai. Aapko apne doctor se milna chahiye, woh aapki skin ko dekhkar hi sahi diagnosis kar sakte hain aur treatment bata sakte hain. Aap apne doctor se poonchh sakti hain ki kya aapke headphones ko saaf karna aur kaan ke aas-paas ki skin ko dry rakhna chahiye.","Main aapki samasya ko samajh sakta hoon, lekin mere paas aapke kaan kee problem ke baare mein koi clinical evidence nahi hai. Aapki file mein sirf 12 saal ke ladke ke baare mein information hai, jismein uske chehre par ek growth aur port-wine stains ke baare mein bataya gaya hai. Main aapki skin problem ke baare mein kuch nahi keh sakta kyunki yeh information mere paas nahi hai. Aapko apne doctor se milna chahiye jo aapki samasya ko dekhkar sahi diagnosis aur treatment de sakta hai.",0.0,1.0,1.0,0.0,1.0,1.0
P02300,skin_rash,0.4319,medium," Hi mera naam Connie hai. Mujhe mere skin mein kuch issue hai, pichle 4 mahino se severe rash hai. Bahut itching hoti hai aur skin par chote chote laal daane hote hain jo suj jaate hain. Thoda sa kam ","Connie ji, aapki skin mein jo issue hai, wo ek chronic condition lagta hai, jaise ki eczema ya dermatitis. Aapke symptoms, jaise ki severe rash, itching, aur laal daane, is tarah ki conditions mein common hote hain. Garam paani se thoda relief milna bhi possible hai, lekin aapko ek dermatologist se consult karna chahiye taaki aapki skin ki proper diagnosis ho sake. Aapke honthon ki sukhapan aur flakes bhi is condition ka hissa ho sakte hain.","Connie ji, aapki symptoms ko dekhkar, mujhe lagta hai ki aapki problem skin ki hai, lekin humne aapke previous case mein kuch specific allergies ya skin conditions ke baare mein kuch nahi pata chala. Aapke previous incident mein, aapne kitchen shears se apne haath ko puncture kiya tha, aur uske baad aapko infection ki symptoms thi, lekin ab aapke symptoms kuch alag hain. Hum yeh confirm nahi kar sakte ki aapki current symptoms kis wajah se hain, kyunki humare paas iske liye koi specific evidence nahi hai. Aapko shayad ek dermatologist se consult karna chahiye jo aapki skin ki problem ko better diagnose kar sake.",0.3333333333333333,0.5,0.6666666666666666,0.5,0.16666666666666669,0.16666666666666663
P00982,skin_rash,0.4703,medium,"Annoyances pichle 5 saal se chal rahe hain. Maine khud ko treat kiya hai lice infest, rat aur dust mite ke hisab se..chronic description hai. Mainey frequent rug shampooing, spraying, fumigation try k","Aapko pichle 5 saal se ye annoyances ho rahe hain, aur aapne khud ko lice infest, rat aur dust mite ke hisab se treat kiya hai. Aapne frequent rug shampooing, spraying, fumigation, laundry karke soap add karke, garam tumble-dry bhi kiya hai, lekin phir bhi itching ho raha hai, especially waist ke aas paas aur palms and soles mein. Ye symptoms kisi bhi skin infection ya allergy ke baare mein hospital tests negative show kar rahe hain, isliye humein aur investigation karne ki zarurat hai. Aapke efforts se 90% problem control ho gayi hai, lekin ab humein ye dekhna hoga ki aapko kya aur karna hoga.","Beta, aapke symptoms ko dekhkar, mujhe lagta hai ki aapki problem vaginal discharge ki wajah se ho sakti hai, jaise ki pehle 5 saal ki ladki ki case mein tha. Usmein bhi watery foul-smelling vaginal discharge tha, aur ulcers bhi the. Lekin aapke case mein, itne details nahi hain, toh main confirm nahi kar sakta. Aapke itching aur burning ke symptoms bhi similar hain, lekin main yeh nahi keh sakta ki aapki problem bhi same hai. Aapko aur tests karwane pad sakte hain, jaise ki vaginal discharge ka culture, ya phir pelvic ultrasound.",0.6666666666666666,1.0,0.3333333333333333,0.0,0.33333333333333337,0.3333333333333333
P02098,skin_rash,0.4409,medium,Mera naam Savitha hai aur main 24 saal ki hoon. Pichle Monday mere friend ne mujhe SKIN LITE cream recommend ki thi aur maine use bandhtri dinon tak istemal kiya. Ab meri skin poori tarah se kharab ho,"Savitha ji, aapko skin lite cream bandh karna chahiye tha, kyunki usne aapki skin ko nuksan pahunchaya hai. Ab aap Johnsons cream istemaal kar rahi hain, toh thodi der tak uska istemal karte rahiye, lekin agar khujli aur laal nishan waise hi rahe toh doctor se milna zaroori hai. Aapko apni skin ko thoda araam dena chahiye, aur koi bhi naya cream istemaal karne se pehle doctor ki salah leni chahiye.","Savitha ji, aapki problem humari clinical evidence se match nahi karti hai. Humari evidence mein hyaluronic acid filler ke baad Mycobacterium abscessus infection ka case hai, lekin aapne SKIN LITE cream ka istemal kiya hai. Hum aapki cream ke bare mein kuchh nahi keh sakte kyunki humari evidence mein iska zikr nahi hai. Aapko apne doctor se milna chahiye jo aapki skin ki problem ko dekhkar sahi salah de sakta hai.",0.25,1.0,0.0,0.0,0.75,0.0
P02046,skin_rash,0.4471,medium,HI. Mai apne skin par kis type ki infection hai ye determine karne ki koshish kar raha hoon. Mere haath aur pairon par rashes ho gaye hain. Ye bohot khujli wale hai aur kabhi-kabhi ooze bhi ho jate ha,"Aapke skin par rashes hain, ye ek infection ho sakti hai, jaise ki fungal infection ya allergic reaction. Aapko khujli, dard, aur ooze bhi ho raha hai, isse pata chalta hai ki ye ek serious infection ho sakti hai. Aap ghar par thanda compress laga sakte hain aur coconut oil ya aloe vera gel lagane se aapko relief mil sakta hai. Aap doctor se milo, ve aapko proper diagnosis aur treatment denge, aur aapko antibiotics ya cream prescribe kar sakte hain.","Aapke symptoms ko dekhkar, mujhe lagta hai ki aapke paas koi skin condition hai, lekin main confirm nahi kar sakta ki ye kaunsa infection hai. Clinical evidence ke mutabiq, patient ko PSEK ki diagnosis mili thi, lekin aapke haath aur pairon par rashes hone ki koi information nahi hai. Aapko doctor se consult karna chahiye, aur unke dwara diagnosis ke baad hi koi ilaj suggest kiya ja sakta hai. Ghar ke upay ke bare mein bhi doctor se hi puchhna chahiye, kyunki humein is case mein koi specific ghar ke upay ki information nahi mili.",0.25,0.0,0.75,1.0,-0.25,-0.25
P02875,skin_rash,0.5231,high,"Hello doctor, mujhe lagta hai mujhe balanitis hai, itching ki wajah se mere penis foreskin par rashes ho gaye hain. Please doctor, dekhiye is vartaman condition ko neeche, mujhe foreskin ko retract ka","Balanitis ke lakshan aapke description se match ho rahe hain, lekin humein yeh confirm karna hoga ki yeh balanitis hai ya koi aur infection. Aapke foreskin par rashes, itching, aur inflammation ho sakta hai kisi infection ya allergy ke karan. Aapko ek qualified doctor se milna chahiye jo aapka proper examination kar sake aur agar zarurat ho to antibiotics ya cream prescribe kar sake. Foreskin ko retract karne mein dikkat aur rubber band jaisa structure bhi ek chinta ka vishay hai, isliye jaldi se doctor se milna zaroori hai.","Bhai sahab, aapke symptoms ko dekhkar lagta hai ki aapko balanitis ho sakta hai, lekin hum yeh confirm nahi kar sakte kyunki aapke case mein iska koi zikr nahi hai. Lekin aapke penis par multiple ulcers aur erythematous plaques pahle se hi the, jo secondary syphilis ke lakshan hain. Aapko pahle se hi benzathine G penicillin injection diya gaya tha, jo syphilis ke liye effective hai. Aapke foreskin ke symptoms ko dekhne ke liye aur diagnosis ke liye aapko doctor se milna hoga.",0.6,1.0,0.4,0.0,0.4,0.4
P02241,skin_rash,0.464,medium,"Mere haatho aur pairo par laal pink rang ka rash hain, ellenbo aur ghutnon ke creases mein aur kuch oval shape ke hain, kuch chote circular hain, kuch jaise ke bites lagte hain dusre to jaise kuch ais","Aapke haatho aur pairo par jo rash hain, wo kai cheezon ki wajah se ho sakte hain, jaise ki allergy, infection ya skin ki koi bimari. Aapne jo oval shape ke aur circular spots bataye hain, wo ek tarah ke eczema ya dermatitis ho sakte hain. Kabhi kabhi garam lagne ki wajah se ye bhi ho sakta hai ki aapke skin mein koi inflammation ho raha hai. Aapko doctor se milna chahiye taaki wo aapki skin ko dekhkar sahi diagnosis kar sakein.","Aapke haatho aur pairo par jo laal pink rang ka rash hai, yeh Erythema elevatum diutinum (EED) ke lakshan hain. Aapke rash ki tarah, EED mein bhi multiple tender erythematous papules aur firm nodules ho sakte hain. Aapke rash ki wajah se khujli aur garami bhi ho sakti hai, lekin hum iske liye koi specific ilaaj nahi de sakte hain kyunki aapki image humne nahi dekhi hai. Aapko doctor se milna chahiye jo aapki sthiti ka purn mulyankan kar sake.",0.4,0.75,0.6,0.25,0.35,0.35
P02106,skin_rash,0.3712,medium,"Hey, mere peeth aur chhati ke kuch hisso par aur mere sharir ke aur kuch hisso par bhi mujhe khaarish hui hai. Garmi isse aur bhi bura kar deti hai. Yeh dard ya khaarish nahi hoti hai. Yeh bhure se la","Aapko jo khaarish hai, woh ek tarah ki twacha ki samasya lagti hai, jise hum skin rash ya allergic reaction kehte hain. Garmi se iska bura hona aur rang bhure se laal hone ka bhi possibility hai. Yeh ek saal se chal raha hai, toh shayad yeh kisi chronic condition ki wajah se ho sakta hai, jaise ki eczema ya dermatitis. Aapko ek dermatologist se milna chahiye, woh aapki twacha ko dekhkar sahi diagnosis aur treatment bata sakte hain.","Aapko jo khaarish hai, woh shayad aapke seborrheic keratosis ke karan ho sakti hai, kyunki aapke medical history mein yeh mention hai. Yeh ek prakar ki twacha ki samasya hai jo umar ke saath badh sakti hai. Lekin main iske alawa aur kuchh nahin keh sakta kyunki aapke image ko dekhne ke liye main yahan capable nahin hoon. Aapko apne doctor se milna chahiye jo aapki twacha ki samasya ko dekhkar sahi diagnosis aur treatment de sakta hai.",0.0,0.25,1.0,0.0,0.25,1.0
P02519,skin_rash,0.5123,high,Hi main apne haath aur baaon par lagbhag 4 saal se Betnovate 1/5 cream use kar rahi hoon ek eczema/psoriasis type rash ke ilaj ke liye. Mereko abhi haal hi mein dikkat ho rahi hai ki uss jagah ki pigm,"Aapki samasya samajh mein aayi, Betnovate cream ka lambe samay tak upyog karne se skin ki pigmentation par asar pad sakta hai. Aapne cream lagana band kar diya hai, jo ki ek accha kadam hai, ab aapko thoda sabr karna hoga, kyunki skin ko recover hone mein samay lagta hai. Pigmentation dobara aane ki sambhavna hai, lekin yeh puri tarah se recover hone mein kuch mahine ya saal lag sakte hain. Aapko apne doctor se milna chahiye, woh aapko iske liye upyukt salah aur treatment de sakte hain.","Meri patient, aapki samasya ko dekhte hue, main yeh keh sakta hoon ki aapki pigmentation ki samasya ka karan Betnovate cream ka lambe samay tak upyog ho sakta hai. Lekin, clinical evidence mein is baat ka koi ullekh nahi hai ki pigmentation ki samasya kitne samay tak rahegi ya yeh permanent hai ya nahi. Isliye, main is baat ka confirmation nahi kar sakta. Aapko apne doctor se milna chahiye jo aapki samasya ko dekhkar aapko sahi salah de sakta hai.",0.25,0.25,0.0,0.0,0.0,0.0
P02274,skin_rash,0.4995,medium,"Mere andar ki jaangh aur armpits par aur mere aarthi aur kamar ke aas paas aur taaang ke bich mein 2 hafton se daane hain. Mujhe soyi nahi jaati,itni khujli hoti hai. Mere doctor ne kaha tha ki ye cha","Aapko 2 hafton se daane ho rahe hain aur khujli bhi bahut ho rahi hai, ye samajh mein aaya. Aapne doctor se baat ki thi, lekin abhi tak kuch farak nahi pada. Aapne lotion aur deodorant use karna band kar diya hai, jo ki theek hai. Ab aapko ek dermatologist se milna chahiye, woh aapki skin ko dekhkar sahi diagnosis aur treatment bata sakte hain.","Aapke symptoms aur clinical evidence ke basis par, main is nishkarsh par nahin pahunch sakta ki aapke andar ki jaangh, armpits, aarthi, kamar ke aas paas, aur taaang ke bich mein daane hone ka koi sambandh hai aapke pehle wale EO exposure se. Clinical evidence sirf aapke right foot ke burn ke baare mein batata hai, aur aapke naye symptoms ke liye koi specific information nahin hai. Mujhe lagta hai ki aapko apne doctor se phir se milna chahiye aur apne naye symptoms ke baare mein discuss karna chahiye.",0.25,0.25,0.0,0.0,0.0,0.0
P01759,skin_rash,0.4523,medium,"Hi I hope koi meri madad kar sakta hai, basically do hafte pehle mere naak ke dono taraf aur mathewala area pe rash type ka kuch ho raha hai. Ye mere skin ko naak ke aas paas red aur flaky bana deta h","Aapko naak ke aas paas red aur flaky skin ho raha hai, ye ek common problem hai jo dry skin, allergies, ya phir kisi medication ke side effect ke karan ho sakta hai. Aapne Tetralysal liya hai, toh shayad ye uska side effect ho sakta hai, lekin hume yeh confirm karne ke liye doctor se baat karni hogi. Aapne sahi kiya ki aap area ko chune se bach rahe hain, kyunki ye skin ko aur bhi irritate kar sakta hai. Aap apne doctor se baat karein aur unse puchhein ki kya aapke liye koi specific treatment hai, shayad unke paas koi cream ya lotion ho jo aapke skin ko soothe kar sake.","Main aapki madad karne ki koshish karunga, lekin mujhe lagta hai ki aapki samasya aur clinical evidence mein koi connection nahi hai. Aapke symptoms naak ke aas paas red aur flaky skin ke baare mein hain, jabki clinical evidence mein trunk aur arm par itchy lesion ke baare mein bataya gaya hai. Main iske baare mein confirm nahi kar sakta ki ye treatable hai ya nahi, kyunki aapki samasya clinical evidence se match nahi karti. Aapko apne doctor se phir se consult karna chahiye.",1.0,1.0,0.0,0.0,0.0,0.0
P02473,skin_rash,0.4182,medium,"Prabhujee, mujhe meri left nipple par wart jaisa ek vridhi ka vikaas hua hai, woh nipple ki hi rangat ka hai. Woh nipple ke aadhe se kam bada hai. Koi dard, koi nikalna nahi hai. Mujhe bahut tez eczem","Beti, aapko jo wart jaisa vridhi dekha hai, woh shayad ek harmless growth ho sakta hai, lekin humein iski pouchh-paarchh ke liye doctor se milna chahiye. Aapke eczema ki wajah se nipple par chamdi phatne aur khun nikalne ki samasya ho sakti hai, isliye aapko apni chamdi ki dekhbhal karni chahiye. Aapko doctor se milne ke liye appointment lena chahiye, taaki woh aapki jaanch kar sakein aur aapko sahi salah de sakein. Aapko apni chamdi ki dekhbhal ke liye moisturizer ka istemal karna chahiye aur nipple par koi bhi tezi se lagane wala cheez istamal na karein.","Meri behen, aapki nipple par wali vridhi ke baare mein main kuchh nahi keh sakta hoon kyunki humare paas iske baare mein koi clinical evidence nahi hai. Aapki eczema ki samasya bhi hai, lekin humare paas iske baare mein bhi koi specific information nahi hai. Main sirf itna keh sakta hoon ki aapko apne doctor se milna chahiye jo aapki samasya ko dekhkar sahi diagnosis aur treatment de sakta hai. Humare paas jo clinical evidence hai, woh sirf us 46 saal ki mahila ki baat karti hai jiske face par ek nonhealing lesion tha, jiska koi connection aapki samasya se nahi hai.",0.0,0.5,1.0,0.5,0.5,0.5
P02729,skin_rash,0.4497,medium,"Namaste doctor,Haal hi mein mujhe halka sa gale me dard ho raha hai. Dard ko halki dawa se thik karne par asar dikhta hai. Do din se mere skin mein kuch issue ho raha hai aur aaj se mere muh mein bhi ","Namaste, aapke symptoms ko dekhkar toh yeh kehna mushkil hai ki yeh HIV ke symptoms hain ya nahi. Aapke paas bukhar ya thakan nahi hai, jo ki HIV ke common symptoms hain. Aapki skin aur muh ke issues hormone imbalance se judi ho sakti hain, jaise aapne khud socha hai. Lekin aapko ek doctor se milna chahiye jo aapki jaanch karke sahi diagnosis de sakta hai, kyunki yeh symptoms kai cheezon se ho sakte hain. Aapko ek appointment lena chahiye aur apne symptoms ko detail mein batana chahiye.","Namaste patient, aapke symptoms ko dekhkar, hum yeh confirm nahi kar sakte ki aapko HIV hai ya nahi, kyunki clinical evidence mein aapke bare mein koi jankari nahi hai. Lekin, clinical evidence ke anusar, ek 56 saal ke patient ko fever, sore throat, aur shoulder joint mein dard tha, aur unka HIV test negative tha. Aapke paas fever ya thakan nahi hai, lekin aapke skin aur muh mein issue ho raha hai, iske liye aapko apne doctor se milna chahiye aur unse apne symptoms ke bare mein charcha karni chahiye.",0.25,1.0,0.0,0.0,0.75,0.0
