pair_id,condition,random_case_id,random_condition_group,random_is_coincidentally_correct,grounded_output_random,random_is_refusal,random_factual_vs_random_ev,random_halluc_vs_random_ev,random_factual_vs_oracle_ev,random_has_concepts,real_factual,oracle_factual,zero_factual_vs_oracle,real_is_refusal,oracle_is_refusal,retrieval_top1_correct,model
P02596,,PMC8523288,skin_rash,False,"Mujhe aapke description ke liye koi specific clinical evidence nahi mila jo is condition ko cover kare. Isliye main iske baare mein koi confirm karne wala statement nahi de sakta. Agar aapko further evaluation chahiye, to dermatologist ya ophthalmologist se direct consult karna best hoga.",True,,,,False,1.0,1.0,1.0,True,True,False,openai/gpt-oss-20b
P02810,,PMC4137414,skin_dryness,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, usme eye ke aas paas dard, cornea ki redness, ya toy gun se lagne wali chot ke baare mein koi jaankari nahi hai. Isliye main aapke is symptom ke baare mein kuch confirm nahi kar sakta. Agar aapko eye mein dard ya redness hai, to please ek ophthalmologist se consult karein.",True,0.0,1.0,0.0,True,,,0.5,False,False,False,openai/gpt-oss-20b
P02825,,PMC11390419,knee_swelling,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, usme sirf ek 83‑varsh ke aadmi ki knee infection aur related details hain. Eye glasses ya aankhon ki thakan ke baare mein koi information nahi hai. Isliye main is sawal ka jawab dene ke liye evidence se koi fact nahi nikal sakta. Agar aapko eye care ke liye guidance chahiye, toh aapko ek ophthalmologist se consult karna chahiye.",True,1.0,0.0,0.0,True,,0.0,,True,True,True,openai/gpt-oss-20b
P00404,,PMC10517617,swollen_eye,False,"Mujhe aapke bataaye gaye symptoms ke liye koi clinical evidence nahi mila jo is case se match kare. Isliye main is situation ke baare mein koi specific diagnosis ya treatment suggestion nahi de sakta. Agar aapke bacche ki condition lagataar badh rahi ho ya severe ho, to turant doctor se milna ya hospital jana sahi rahega. Dhanyavaad.",True,,,,False,0.0,,0.5,True,True,False,openai/gpt-oss-20b
P00339,,PMC4809481,mouth_ulcers,False,"Mere paas jo clinical evidence hai, usme eye ke symptoms ka koi mention nahi hai, isliye main is case ke liye koi specific diagnosis ya treatment suggest nahi kar sakta. Aapke beta ke liye ek eye specialist se consult karna sabse behtar rahega. Agar symptoms worsen ho rahe hain ya koi naya symptom aata hai, to turant medical help lein.",True,,,,False,,,0.0,False,False,False,openai/gpt-oss-20b
P01120,,PMC8280522,knee_swelling,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, usme aapke itching, liver, ya skin ke symptoms ka koi zikr nahi hai. Isliye main in baaton ke baare mein confirm nahi kar sakta. Agar aapko in symptoms ke liye koi medical advice chahiye, toh aapko ek general practitioner ya dermatologist se milna chahiye.",True,0.0,1.0,0.0,True,0.0,,0.2,True,True,False,openai/gpt-oss-20b
P00360,,PMC5730416,knee_swelling,False,"Mere paas jo clinical evidence hai, usme aapke eye redness ya dental extraction ke baare mein koi jankari nahi hai. Isliye main is baat ko confirm nahi kar sakta. Agar aapko lagta hai ki aankhon mein koi unusual redness ya discomfort hai, toh ek ophthalmologist ya general practitioner se milna behtar hoga. Yeh aapke liye surakshit aur sahi upchar ka raasta hoga.",True,0.0,1.0,0.0,True,,,0.75,False,False,False,openai/gpt-oss-20b
P02710,,PMC5508616,eye_redness,True,"Mujhe aapke eye ke symptoms ke baare mein koi clinical evidence nahi mila, isliye main is par koi specific advice nahi de sakta. Agar aapko blurring ya anya symptoms continue ho rahe hain, toh please apne ophthalmologist se consult karein. Dhanyavaad.",True,,,,False,,1.0,0.75,True,True,False,openai/gpt-oss-20b
P02868,,PMC5478159,dry_scalp,False,"Mujhe maaf kijiye, lekin aapke prashn ke liye uplabdh clinical evidence mein eye surgery ya corneal ulcer ka koi jankari nahi hai. Isliye main is vishay par koi vishwasniya salah ya jankari nahi de sakta. Agar aapko iske baare mein vistar se jaankari chahiye, toh kripya apne ophthalmologist se sampark karein.",True,0.0,1.0,1.0,True,0.0,1.0,0.5,True,True,False,openai/gpt-oss-20b
P01167,,PMC3335709,mouth_ulcers,False,"Mujhe aapke malaria, liver enzymes, aur medication ke baare mein koi clinical evidence nahi mila. Jo evidence diya gaya hai, woh sirf aapke daant ke swelling, calculus, aur X‑ray findings se sambandhit hai. Isliye main aapke SGPT ke badhne ka kaaran ya malaria treatment ke baare mein koi confirm karne ki salah nahi de sakta. Aapko ek specialist (jaise ki hepatologist ya infectious disease doctor",True,0.5,0.5,0.5,True,,0.0,,True,True,False,openai/gpt-oss-20b
P00337,,PMC5592425,swollen_tonsils,False,"I’m sorry, but the clinical evidence provided does not cover eye injuries from bleach exposure. I cannot confirm what additional steps you should take for your granddaughter’s eye. If you’re unsure, it’s best to consult a healthcare professional for personalized advice.",True,,,,False,,,0.0,True,True,False,openai/gpt-oss-20b
P03003,,PMC2886218,dry_scalp,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, usme aapke dry eye ke symptoms, Systane eye drop, ya Ara gel ke baare mein koi jaankari nahi hai. Isliye main iske baare mein koi specific advice nahi de sakta. Agar aapko aur guidance chahiye, toh kripya apne ophthalmologist se direct consult karein.",True,,,,False,,,,True,True,False,openai/gpt-oss-20b
P00351,,PMC3544661,swollen_eye,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, usme sirf 18‑year‑old adult ka case hai aur koi information 2½‑year‑old bachchi ke baare mein nahi hai. Isliye main aapke sawaal ka jawab evidence ke hisaab se confirm nahi kar sakta. Agar aapko apni beti ki health ke baare mein chinta hai, to kripya direct doctor se consult karein.",True,,,,False,,0.0,0.0,True,True,False,openai/gpt-oss-20b
P01399,,PMC6332970,swollen_eye,False,Clinical evidence shows that skin lesions with perivascular eosinophilic infiltration can appear in EGPA (eosinophilic granulomatosis with polyangiitis) and may resolve within a,False,0.0,1.0,0.0,True,0.5,,0.0,False,True,True,openai/gpt-oss-20b
P01267,,PMC6507379,eye_redness,False,"Mujhe aapke mom ke case ke baare mein koi clinical evidence nahi mila. Jo data maine dekha, woh sirf aankhon ke latex ke injury se sambandhit hai. Isliye main aapke mom ke ankle, foot swelling ya blood clot ke baare mein koi confirm karne ki salah nahi de sakta. Agar aapko koi medical doubt hai, toh direct doctor se consult karna behtar hoga.",True,1.0,0.0,1.0,True,0.0,1.0,0.5,True,True,False,openai/gpt-oss-20b
P00447,,PMC10032463,skin_dryness,False,"Mere paas jo clinical evidence hai usme aapke khaliye khoon ka sugar, liver function, pairon ki swelling, numbness, ya hips mein chalne ki takleef ka koi zikr nahi hai. Isliye main confirm nahi kar sakta ki yeh diabetes ya koi aur specific problem hai. Agar aapko in symptoms ki wajah se chinta ho, toh aapko apne primary doctor se direct check‑up karwana chahiye.",True,0.0,1.0,1.0,True,0.5,1.0,0.25,True,False,False,openai/gpt-oss-20b
P00414,,PMC4438144,edema,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, usme aapki beti ke blotchy skin ke baare mein koi jaankari nahi hai. Isliye main is baare mein koi nishchit faisla ya salah nahi de sakta. Agar aapko lagta hai ki ye koi skin condition ho sakti hai, to aapko phir se doctor se consult karna chahiye.",True,,,,False,0.0,0.5,,True,True,False,openai/gpt-oss-20b
P01048,,PMC9554330,skin_irritation,False,"Main aapke paon ke nakhuno aur sujan ke baare mein clinical evidence se koi specific information nahi de sakta. Mere paas sirf MF aur COVID‑19 se judi jaankari hai, jo aapke foot ke symptoms se sambandhit nahi hai. Isliye main aapko koi soak ya treatment recommend nahi kar sakta. Agar aapko lagta hai ki foot mein koi infection ya inflammation ho sakta hai, to kripya ek dermatologist ya podiatrist se consult karein.",True,0.5,0.5,0.5,True,0.0,0.5,0.0,True,True,False,openai/gpt-oss-20b
P00456,,PMC5006011,skin_growth,False,"Mujhe aapke gardan ke burst discs, A‑fib, aur saans lene ki takleef ke baare mein koi clinical evidence nahi mila. Isliye main aapke symptoms ya ilaaj ke baare mein koi confirm karne wala jawab nahi de sakta. Aapke cardiologist se milne ke baad hi koi specific advice dena sahi hoga. Dhanyavaad.",True,,,,False,,1.0,1.0,True,True,False,openai/gpt-oss-20b
P02902,,PMC4309308,hand_lump,False,Mujhe aapke foot swelling ke baare mein koi clinical evidence nahi mila. Isliye main confirm nahi kar sakta ki yeh heart failure se related hai ya koi aur wajah. Aapko ek specialist (jaise cardiologist ya orthopedist) se consult karna chahiye aur imaging ya labs karwa kar exact cause pata lagana chahiye.,True,1.0,0.0,0.0,True,1.0,0.5,0.2,True,False,False,openai/gpt-oss-20b
P00451,,PMC8652196,dry_scalp,False,"Namaste, mujhe maaf kijiye lekin aapke sawaal ka jawab dene ke liye mujhe jo clinical evidence di gayi hai, usme aapke diabetes aur foot ke symptoms ka koi zikr nahi hai. Isliye main is par koi specific advice ya confirmation nahi de sakta. Agar aapko apni condition ke liye guidance chahiye, toh kripya apne doctor se direct consult karein.",True,,,,False,1.0,,0.6666666666666666,True,True,False,openai/gpt-oss-20b
P01564,,PMC7471788,mouth_ulcers,False,"Mere paas jo clinical evidence hai, woh sirf daant ke recession aur mucogingival surgery ke baare mein hai. Isme skin ke gaanth, drainage, ya cancer ke baare mein koi jaankari nahi hai. Isliye main aapke dad ke skin lump ke cancer hone ya aapke haath ki germs ke aapme cancer karne ke baare mein kuch confirm nahi kar sakta. Agar aapko chinta hai, toh skin specialist ya dermatologist se consult karna behtar hoga.",True,0.0,1.0,0.0,True,0.0,0.0,0.75,True,True,False,openai/gpt-oss-20b
P01005,,PMC9672085,knee_swelling,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, usme aapke 37 saal ke case ke baare mein koi jaankari nahi hai. Isliye main aapke specific symptoms ya treatment options ke baare mein kuch confirm nahi kar sakta. Agar aapko aur guidance chahiye, toh kripya apne doctor se direct consult karein.",True,,,,False,0.0,0.5,0.5,True,True,True,openai/gpt-oss-20b
P01356,,PMC8721042,swollen_tonsils,False,"Mere paas jo clinical evidence hai, usme sirf ek 40 ke aas-paas ke male patient ka case hai jo ki NSCLC aur COVID‑19 se joojh raha hai. Isme foot sprain, swelling ya koi mass ka koi zikr nahi hai. Isliye main aapke foot ke masle ke baare mein koi specific information ya advice nahi de sakta. Agar aapko lagta hai ki mass ya swelling abhi bhi hai, toh ek specialist se phir se consult karna behtar hoga.",True,1.0,0.0,1.0,True,1.0,1.0,0.5,True,True,False,openai/gpt-oss-20b
P01654,,PMC7277044,skin_growth,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne diya hai, usme sirf kidney stone aur renal cancer ke baare mein jaankari hai. Aapke left leg ke soft knot, knee swelling, aur pain ke liye koi data nahin hai. Isliye main is baare mein kuch confirm nahi kar sakta. Agar aapko iske liye doctor se milna hai, to aapko ek musculoskeletal specialist ya orthopedic doctor se consult karna chahiye.",True,0.6666666666666666,0.3333333333333333,0.6666666666666666,True,,1.0,1.0,True,True,False,openai/gpt-oss-20b
P01408,,PMC9242792,skin_rash,False,"Mujhe aapke saas ki situation ke baare mein koi clinical evidence nahi mila. Isliye main yeh confirm nahi kar sakta ki lipoma burst ho sakta hai ya infection fail sakta hai. Aapko ek dermatologist ya surgeon se milkar unke lipoma ki janch karani chahiye. Agar koi dard, sujan ya infection ke lakshan ho rahe hain, to turant medical help lein.",True,1.0,0.0,0.0,True,0.0,0.0,0.0,True,True,True,openai/gpt-oss-20b
P02878,,PMC11095189,skin_irritation,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai woh ek cat ki skin condition (D gatoi infestation) se sambandhit hai. Is evidence se aapke foot aur ankle ke issue ke baare mein koi information ya guidance nahi mil sakti. Isliye main aapke foot ke problem ke liye koi specific advice nahi de sakta. Agar aapko aur medical guidance chahiye, toh kripya ek qualified human doctor ya orthopedic specialist se consult karein.",True,,,,False,1.0,1.0,1.0,True,True,False,openai/gpt-oss-20b
P00462,,PMC3350053,eye_inflammation,False,"Mere paas jo clinical evidence hai, usme sirf aankhon ke symptoms aur vision loss ka zikr hai. Leg swelling, knee ke neeche ki red radish jaisi dikhai, dard, burning sensation, ya high blood pressure ke baare mein koi data nahi hai. Isliye main is case ke liye koi specific diagnosis ya treatment suggest nahi kar sakta. Agar aapko aur information chahiye, toh please doctor se direct consult karein.",True,0.5,0.5,0.5,True,1.0,0.6666666666666666,0.4,True,True,False,openai/gpt-oss-20b
P01110,,PMC7240132,hand_lump,False,"Mujhe maaf kijiye, lekin jo clinical evidence aapne di hai, usme sirf NF‑1, optic glioma, chemotherapy, viral pharyngitis aur haath ke triggering ki baat hai. Isme kidney, creatinine ya foot swelling ke baare mein koi jaankari nahi hai. Isliye main aapke kidney ya foot ke symptoms ke liye koi specific reason ya diagnosis nahi de sakta. Agar aapko iske baare mein aur jaankari chahiye, toh kripya apne nephrologist ya orthopedic specialist se sampark karein.",True,0.6666666666666666,0.3333333333333333,0.0,True,0.5,,0.0,True,True,False,openai/gpt-oss-20b
P01610,,PMC6495086,lip_swelling,False,"Mujhe khed hai, lekin jo clinical evidence aapne share ki hai, usme haath ke piche ke ganth ya vein ke baare mein koi jankari nahi hai. Isliye main iske baare mein koi nishchit faisla ya diagnosis nahi de sakta. Agar aapko iske baare mein aur jaankari chahiye, to kripya apne local doctor se sampark karein.",True,,,,False,,1.0,0.6666666666666666,True,False,False,openai/gpt-oss-20b
P01285,,PMC5143702,lip_swelling,False,,False,,,,False,,,0.0,True,True,False,openai/gpt-oss-20b
P01250,,PMC8443378,cyanosis,False,"Mujhe maaf kijiye, lekin aapke dwara bataye gaye wrist ke ganth ke baare mein koi clinical evidence mere paas nahi hai. Isliye main iske liye koi specific suggestion ya diagnosis nahi de sakta. Agar aapko phir bhi doubt ho, toh apne doctor se direct consult karna best rahega.",True,,,,False,,1.0,1.0,True,True,True,openai/gpt-oss-20b
P01383,,PMC7396078,mouth_ulcers,False,"Mujhe aapke wrist ke issue ke baare mein koi clinical evidence nahi mila jo is case study mein mention kiya gaya ho. Isliye main is baat ko confirm ya deny nahi kar sakta. Aapke previous breast cancer aur bone marrow transplant ke history ko dekhte hue, aapko ek specialist se consult karna chahiye, lekin yeh decision aapke doctor ke saath discuss karna hoga. Agar aapko lagta hai ki yeh koi tumor ho sakta hai, to ek oncologist ya orthopedic surgeon se milna sahi rahega.",True,0.0,1.0,0.0,True,1.0,0.0,0.5,True,True,False,openai/gpt-oss-20b
P01233,,PMC6195925,edema,False,"Mujhe aapke haath ke dard, cartilage ke ganthe, aur stretch ki ability ke baare mein koi clinical evidence nahi mila. Jo data mujhe diya gaya hai, woh sirf 3% H₂O₂ ke accidental ingestion aur uske wajah se mouth, throat aur epigastrium ke symptoms se sambandhit hai. Isliye main",False,,,,False,,,0.6666666666666666,True,False,False,openai/gpt-oss-20b
P00317,,PMC4667073,skin_irritation,False,"Mere paas jo clinical evidence hai, usme sirf ek 25‑varsh ke adult ke gum injury ka case hai. Isme 2‑saal ke bacche ki sir ki bump ya fracture ke baare mein koi jankari nahi hai. Isliye main is situation ke baare mein confirm nahi kar sakta. Aapke doctor se milkar unke reports ka review karna sabse behtar rahega.",True,0.0,1.0,0.0,True,0.0,0.0,0.25,True,True,False,openai/gpt-oss-20b
P01666,,PMC10762793,skin_growth,False,"Mujhe aapke hand ke bruise ke baare mein koi clinical evidence nahi mila. Isliye main is baare mein koi vishesh jaankari ya diagnosis nahi de sakta. Agar aapko lagta hai ki yeh koi alag medical issue ho sakta hai, toh kripya apne dermatologist ya primary care doctor se sampark karein.",True,,,,False,,,,True,True,True,openai/gpt-oss-20b
P01236,,PMC9277467,swollen_tonsils,False,I cannot confirm anything about a lump under your hand based on the clinical evidence provided.,True,1.0,0.0,0.0,True,,,1.0,True,True,False,openai/gpt-oss-20b
P01326,,PMC5771729,skin_irritation,False,"Aapke haathon par jo dard aur sujan hai, woh FOLFIRI chemotherapy ke baad hone wale **toxic erythema** (acral erythema) ka ek hissa ho sakta hai, jisme humein moderate pink plaques, scaling, xerosis aur fissuring dikhayi deti hain. Lekin is clinical evidence mein **hand numbness** ya “sunpana” ka koi zikr nahi hai, isliye main is baat ki pushti nahi kar sakta ki yeh rash ya koi aur side‑effect is numbness ka kaaran hai.",True,1.0,0.0,0.0,True,,,0.5,True,True,False,openai/gpt-oss-20b
P01608,,PMC9778723,hand_lump,True,,False,,,,False,,1.0,1.0,False,False,False,openai/gpt-oss-20b
P01648,,PMC10963401,swollen_tonsils,False,"Mujhe aapke dikhaye gaye right hand aur wrist ke beech wali vein ki sujhan ke baare mein koi clinical evidence nahi mila. Isliye main is baare mein koi specific advice nahi de sakta. Agar aapko dard, redness, ya swelling badh raha ho, ya aapko breathing ya swallowing mein dikkat ho, toh turant medical attention lena chahiye.",True,0.0,1.0,1.0,True,0.5,,0.3333333333333333,True,True,False,openai/gpt-oss-20b
