sample_id,query_hinglish,report_id,report_text,cmi_bucket
OPENI_0035,"Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Cough fever ke symptoms bhi chal rahe hai. Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O005,Moderate right pleural effusion with compressive atelectasis.,medium
OPENI_0036,"Kya repot me pneumonia ya infection ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0037,"Please explain: Doctor, right/left chest side me pani ya fluid hai kya? jaldi batao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,high
OPENI_0038,kya report me pneumonia ya infection ka sign hai?,O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",low
OPENI_0039,"Doctor, Dil ka size bada dikh raha hai kya? jaldi batao.",O003,Mild cardiomegaly with pulmonary vascular congestion.,high
OPENI_0040,"Doctor, rprt me koi acute issue nahi hai kya? Cough fever ke symptoms bhi chal rahe hai. Thoda simple samjhao.",O004,No acute cardiopulmonary abnormality detected.,medium
OPENI_0041,"Doctor, right/left chest side me pani ya fluid hai kya? Cough fever ke symptoms bhi chal rahe hai.",O005,Moderate right pleural effusion with compressive atelectasis.,low
OPENI_0042,"Please explain: Doctor, Kya rprt me pneumonia ya infection ka sign hai?",O006,Dense right lower lobe consolidation with air bronchograms.,low
OPENI_0043,"Doctor, Doctor, right/left chest side me pani ya fluid hai ky? Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,medium
OPENI_0044,"Doctor, Kya rprt me pneumonia ya infec ka sign hai? Thoda simple samjhao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",medium
OPENI_0045,"Please explain: Doctor, Dil ka size bada dikh raha hai kyaa? Mujhe khansi aur bukhar bhi hai. jaldi batao.",O003,Mild cardiomegaly with pulmonary vascular congestion.,high
OPENI_0046,Report me koi acute issue nahi hai kyaa? jaldi batao.,O004,No acute cardiopulmonary abnormality detected.,high
OPENI_0047,"Doctor, right/left chest side me pani ya fluid hai kyaa? Dil se related issue ka doubt bhi hai.",O005,Moderate right pleural effusion with compressive atelectasis.,low
OPENI_0048,kya report me pneumonia ya infec ka sign hai? Dil se related issue ka doubt bhi hai. Thoda simple samjhao.,O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0049,"Doctor, right/left chest side me pani ya fluid hai ky? Mujhe khansi aur bukhar bhi hai.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,low
OPENI_0050,kya rprt me pneumonia ya infection ka sign hai? jaldi batao.,O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",high
OPENI_0051,"Doctor, Dil ka size bada dikh raha hai kya? Cough fever ke symptoms bhi chal rahe hai.",O003,Mild cardiomegaly with pulmonary vascular congestion.,low
OPENI_0052,Please explain: rprt me koi acute issue nahi hai kya? Mujhe khansi aur bukhar bhi hai. Thoda simple samjhao.,O004,No acute cardiopulmonary abnormality detected.,medium
OPENI_0053,"Doctor, Doctor, right/left chest side me pani ya fluid hai ky? Mujhe khansi aur bukhar bhi hai. Dil se related issue ka doubt bhi hai. jaldi batao.",O005,Moderate right pleural effusion with compressive atelectasis.,high
OPENI_0054,"Doctor, Kya rprt me pneumonia ya infxn ka sign hai? Thoda simple samjhao.",O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0055,"Please explain: Doctor, right/left chest side me pani ya fluid hai kya? Dil se related issue ka doubt bhi hai.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,low
OPENI_0056,kyaa rprt me pneumonia ya infection ka sign hai? jaldi batao.,O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",high
OPENI_0057,Dil ka size bada dikh raha hai ky? Mujhe khansi aur bukhar bhi hai.,O003,Mild cardiomegaly with pulmonary vascular congestion.,low
OPENI_0058,"report me koi acute issue nahi hai kya? Cough fever ke symptoms bhi chal rahe hai. Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O004,No acute cardiopulmonary abnormality detected.,medium
OPENI_0059,"Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Cough fever ke symptoms bhi chal rahe hai. Heart beat fast lag rahi hai, chest pressure bhi hai. jaldi batao.",O005,Moderate right pleural effusion with compressive atelectasis.,high
OPENI_0060,"Please explain: Doctor, kyaa report me pneumonia ya infec ka sign hai? Dil se related issue ka doubt bhi hai. jaldi batao.",O006,Dense right lower lobe consolidation with air bronchograms.,high
OPENI_0061,"Please explain: Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Mujhe khansi aur bukhar bhi hai. Dil se related issue ka doubt bhi hai. Thoda simple samjhao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,medium
OPENI_0062,"Doctor, Kya report me pneumonia ya infec ka sign hai? Thoda simple samjhao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",medium
OPENI_0063,Please explain: Dil ka size bada dikh raha hai kya? jaldi batao.,O003,Mild cardiomegaly with pulmonary vascular congestion.,high
OPENI_0064,Report me koi acute issue nahi hai kya? Thoda simple samjhao.,O004,No acute cardiopulmonary abnormality detected.,medium
OPENI_0065,"Doctor, right/left chest side me pani ya fluid hai kya? Thoda simple samjhao.",O005,Moderate right pleural effusion with compressive atelectasis.,medium
OPENI_0066,Kya report me pneumonia ya infxn ka sign hai? jaldi batao.,O006,Dense right lower lobe consolidation with air bronchograms.,high
OPENI_0067,"Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Dil se related issue ka doubt bhi hai. jaldi batao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,high
OPENI_0068,"Doctor, Kya report me pneumonia ya infection ka sign hai? jaldi batao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",high
OPENI_0069,"Doctor, Dil ka size bada dikh raha hai ky? Thoda simple samjhao.",O003,Mild cardiomegaly with pulmonary vascular congestion.,medium
OPENI_0070,report me koi acute issue nahi hai kya?,O004,No acute cardiopulmonary abnormality detected.,low
OPENI_0071,"Doctor, right/left chest side me pani ya fluid hai kya? Dil se related issue ka doubt bhi hai.",O005,Moderate right pleural effusion with compressive atelectasis.,low
OPENI_0072,"Kya report me pneumonia ya infection ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0073,"Please explain: Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Mujhe khansi aur bukhar bhi hai. Thoda simple samjhao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,medium
OPENI_0074,"Doctor, Kya report me pneumonia ya infection ka sign hai? jaldi batao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",high
OPENI_0075,"Doctor, Dil ka size bada dikh raha hai kya?",O003,Mild cardiomegaly with pulmonary vascular congestion.,low
OPENI_0076,"Doctor, repot me koi acute issue nahi hai kya? Dil se related issue ka doubt bhi hai.",O004,No acute cardiopulmonary abnormality detected.,low
OPENI_0077,"Doctor, right/left chest side me pani ya fluid hai kya? Cough fever ke symptoms bhi chal rahe hai.",O005,Moderate right pleural effusion with compressive atelectasis.,low
OPENI_0078,Kya report me pneumonia ya infection ka sign hai?,O006,Dense right lower lobe consolidation with air bronchograms.,low
OPENI_0079,"Doctor, right/left chest side me pani ya fluid hai kya? jaldi batao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,high
OPENI_0080,"Doctor, kya report me pneumonia ya infection ka sign hai?",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",low
OPENI_0081,Please explain: Dil ka size bada dikh raha hai kya?,O003,Mild cardiomegaly with pulmonary vascular congestion.,low
OPENI_0082,report me koi acute issue nahi hai kyaa? Cough fever ke symptoms bhi chal rahe hai. jaldi batao.,O004,No acute cardiopulmonary abnormality detected.,high
OPENI_0083,"Doctor, Doctor, right/left chest side me pani ya fluid hai kya? jaldi batao.",O005,Moderate right pleural effusion with compressive atelectasis.,high
OPENI_0084,Please explain: kyaa report me pneumonia ya infxn ka sign hai?,O006,Dense right lower lobe consolidation with air bronchograms.,low
OPENI_0085,"Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Cough fever ke symptoms bhi chal rahe hai. Thoda simple samjhao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,medium
OPENI_0086,"Kya report me pneumonia ya infection ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai. jaldi batao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",high
OPENI_0087,"Doctor, Dil ka size bada dikh raha hai kya? Thoda simple samjhao.",O003,Mild cardiomegaly with pulmonary vascular congestion.,medium
OPENI_0088,repot me koi acute issue nahi hai kya? Cough fever ke symptoms bhi chal rahe hai. Thoda simple samjhao.,O004,No acute cardiopulmonary abnormality detected.,medium
OPENI_0089,"Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Mujhe khansi aur bukhar bhi hai. Dil se related issue ka doubt bhi hai. Thoda simple samjhao.",O005,Moderate right pleural effusion with compressive atelectasis.,medium
OPENI_0090,"Please explain: kya report me pneumonia ya infection ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0091,"Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Cough fever ke symptoms bhi chal rahe hai.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,low
OPENI_0092,"Please explain: Doctor, Kya repot me pneumonia ya infection ka sign hai? Dil se related issue ka doubt bhi hai. Thoda simple samjhao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",medium
OPENI_0093,Dil ka size bada dikh raha hai kya? Thoda simple samjhao.,O003,Mild cardiomegaly with pulmonary vascular congestion.,medium
OPENI_0094,"Doctor, Report me koi acute issue nahi hai kya? Dil se related issue ka doubt bhi hai. Thoda simple samjhao.",O004,No acute cardiopulmonary abnormality detected.,medium
OPENI_0095,"Doctor, right/left chest side me pani ya fluid hai kya? Mujhe khansi aur bukhar bhi hai. jaldi batao.",O005,Moderate right pleural effusion with compressive atelectasis.,high
OPENI_0096,"Doctor, Kya report me pneumonia ya infection ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0097,"Doctor, right/left chest side me pani ya fluid hai kya? Mujhe khansi aur bukhar bhi hai. jaldi batao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,high
OPENI_0098,"Doctor, Kya report me pneumonia ya infection ka sign hai?",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",low
OPENI_0099,"Doctor, Dil ka size bada dikh raha hai kyaa?",O003,Mild cardiomegaly with pulmonary vascular congestion.,low
OPENI_0100,Report me koi acute issue nahi hai kya? Dil se related issue ka doubt bhi hai. Thoda simple samjhao.,O004,No acute cardiopulmonary abnormality detected.,medium
OPENI_0101,"Doctor, right/left chest side me pani ya fluid hai ky? Thoda simple samjhao.",O005,Moderate right pleural effusion with compressive atelectasis.,medium
OPENI_0102,"Please explain: Doctor, Kya report me pneumonia ya infection ka sign hai?",O006,Dense right lower lobe consolidation with air bronchograms.,low
OPENI_0103,"Doctor, right/left chest side me pani ya fluid hai kya? Mujhe khansi aur bukhar bhi hai.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,low
OPENI_0104,Please explain: Kya repot me pneumonia ya infection ka sign hai? Dil se related issue ka doubt bhi hai.,O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",low
OPENI_0105,"Doctor, Dil ka size bada dikh raha hai kya? Mujhe khansi aur bukhar bhi hai.",O003,Mild cardiomegaly with pulmonary vascular congestion.,low
OPENI_0106,"Doctor, Report me koi acute issue nahi hai ky? Dil se related issue ka doubt bhi hai. Thoda simple samjhao.",O004,No acute cardiopulmonary abnormality detected.,medium
OPENI_0107,"Please explain: Doctor, right/left chest side me pani ya fluid hai kya? Cough fever ke symptoms bhi chal rahe hai. Thoda simple samjhao.",O005,Moderate right pleural effusion with compressive atelectasis.,medium
OPENI_0108,"Doctor, ky rprt me pneumonia ya infec ka sign hai? Thoda simple samjhao.",O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0109,"Please explain: Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Mujhe khansi aur bukhar bhi hai. Thoda simple samjhao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,medium
OPENI_0110,"Please explain: Kya report me pneumonia ya infection ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai. jaldi batao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",high
OPENI_0111,Dil ka size bada dikh raha hai kya?,O003,Mild cardiomegaly with pulmonary vascular congestion.,low
OPENI_0112,"Please explain: Doctor, report me koi acute issue nahi hai kya? Cough fever ke symptoms bhi chal rahe hai. Thoda simple samjhao.",O004,No acute cardiopulmonary abnormality detected.,medium
OPENI_0113,"Doctor, right/left chest side me pani ya fluid hai ky? Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O005,Moderate right pleural effusion with compressive atelectasis.,medium
OPENI_0114,kya report me pneumonia ya infxn ka sign hai? jaldi batao.,O006,Dense right lower lobe consolidation with air bronchograms.,high
OPENI_0115,"Doctor, right/left chest side me pani ya fluid hai kya? Cough fever ke symptoms bhi chal rahe hai. Dil se related issue ka doubt bhi hai. Thoda simple samjhao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,medium
OPENI_0116,Please explain: kyaa report me pneumonia ya infxn ka sign hai?,O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",low
OPENI_0117,Dil ka size bada dikh raha hai kya?,O003,Mild cardiomegaly with pulmonary vascular congestion.,low
OPENI_0118,Please explain: rprt me koi acute issue nahi hai kya? Dil se related issue ka doubt bhi hai.,O004,No acute cardiopulmonary abnormality detected.,low
OPENI_0119,"Please explain: Doctor, Doctor, right/left chest side me pani ya fluid hai kya? jaldi batao.",O005,Moderate right pleural effusion with compressive atelectasis.,high
OPENI_0120,Please explain: ky report me pneumonia ya infection ka sign hai? Thoda simple samjhao.,O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0121,"Doctor, right/left chest side me pani ya fluid hai kya? Thoda simple samjhao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,medium
OPENI_0122,"Kya report me pneumonia ya infec ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",low
OPENI_0123,Dil ka size bada dikh raha hai kya? Mujhe khansi aur bukhar bhi hai. jaldi batao.,O003,Mild cardiomegaly with pulmonary vascular congestion.,high
OPENI_0124,"Doctor, Report me koi acute issue nahi hai kya? Mujhe khansi aur bukhar bhi hai. jaldi batao.",O004,No acute cardiopulmonary abnormality detected.,high
OPENI_0125,"Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Cough fever ke symptoms bhi chal rahe hai.",O005,Moderate right pleural effusion with compressive atelectasis.,low
OPENI_0126,"Doctor, kyaa rprt me pneumonia ya infection ka sign hai? Thoda simple samjhao.",O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0127,"Doctor, right/left chest side me pani ya fluid hai kya? Cough fever ke symptoms bhi chal rahe hai.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,low
OPENI_0128,"Doctor, kyaa report me pneumonia ya infection ka sign hai?",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",low
OPENI_0129,Please explain: Dil ka size bada dikh raha hai kya? Mujhe khansi aur bukhar bhi hai. Thoda simple samjhao.,O003,Mild cardiomegaly with pulmonary vascular congestion.,medium
OPENI_0130,Please explain: Report me koi acute issue nahi hai kya? Mujhe khansi aur bukhar bhi hai. Thoda simple samjhao.,O004,No acute cardiopulmonary abnormality detected.,medium
OPENI_0131,"Please explain: Doctor, Doctor, right/left chest side me pani ya fluid hai kyaa?",O005,Moderate right pleural effusion with compressive atelectasis.,low
OPENI_0132,ky report me pneumonia ya infxn ka sign hai?,O006,Dense right lower lobe consolidation with air bronchograms.,low
OPENI_0133,"Doctor, right/left chest side me pani ya fluid hai kya? Cough fever ke symptoms bhi chal rahe hai.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,low
OPENI_0134,"Doctor, Kya report me pneumonia ya infection ka sign hai? jaldi batao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",high
OPENI_0135,Dil ka size bada dikh raha hai kyaa?,O003,Mild cardiomegaly with pulmonary vascular congestion.,low
OPENI_0136,"Doctor, rprt me koi acute issue nahi hai kya? Thoda simple samjhao.",O004,No acute cardiopulmonary abnormality detected.,medium
OPENI_0137,"Please explain: Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Mujhe khansi aur bukhar bhi hai. jaldi batao.",O005,Moderate right pleural effusion with compressive atelectasis.,high
OPENI_0138,"Doctor, kya repot me pneumonia ya infection ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai. jaldi batao.",O006,Dense right lower lobe consolidation with air bronchograms.,high
OPENI_0139,"Doctor, Doctor, right/left chest side me pani ya fluid hai ky? Cough fever ke symptoms bhi chal rahe hai.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,low
OPENI_0140,"Doctor, Kya rprt me pneumonia ya infxn ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",medium
OPENI_0141,Dil ka size bada dikh raha hai kya? Cough fever ke symptoms bhi chal rahe hai. Thoda simple samjhao.,O003,Mild cardiomegaly with pulmonary vascular congestion.,medium
OPENI_0142,Report me koi acute issue nahi hai kya? Thoda simple samjhao.,O004,No acute cardiopulmonary abnormality detected.,medium
OPENI_0143,"Doctor, Doctor, right/left chest side me pani ya fluid hai ky? Mujhe khansi aur bukhar bhi hai. jaldi batao.",O005,Moderate right pleural effusion with compressive atelectasis.,high
OPENI_0144,"Doctor, Kya report me pneumonia ya infection ka sign hai? Thoda simple samjhao.",O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0145,"Doctor, right/left chest side me pani ya fluid hai kya? Thoda simple samjhao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,medium
OPENI_0146,Kya report me pneumonia ya infxn ka sign hai?,O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",low
OPENI_0147,Dil ka size bada dikh raha hai kya? Mujhe khansi aur bukhar bhi hai. jaldi batao.,O003,Mild cardiomegaly with pulmonary vascular congestion.,high
OPENI_0148,"Please explain: Doctor, Report me koi acute issue nahi hai ky? Heart beat fast lag rahi hai, chest pressure bhi hai.",O004,No acute cardiopulmonary abnormality detected.,low
OPENI_0149,"Doctor, right/left chest side me pani ya fluid hai kya? jaldi batao.",O005,Moderate right pleural effusion with compressive atelectasis.,high
OPENI_0150,"Please explain: Kya report me pneumonia ya infection ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0151,"Doctor, right/left chest side me pani ya fluid hai kya? Mujhe khansi aur bukhar bhi hai. Dil se related issue ka doubt bhi hai. Thoda simple samjhao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,medium
OPENI_0152,"Please explain: Doctor, Kya rprt me pneumonia ya infection ka sign hai? Thoda simple samjhao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",medium
OPENI_0153,Dil ka size bada dikh raha hai kya? Thoda simple samjhao.,O003,Mild cardiomegaly with pulmonary vascular congestion.,medium
OPENI_0154,"Please explain: Doctor, repot me koi acute issue nahi hai kya? Dil se related issue ka doubt bhi hai.",O004,No acute cardiopulmonary abnormality detected.,low
OPENI_0155,"Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O005,Moderate right pleural effusion with compressive atelectasis.,medium
OPENI_0156,Kya report me pneumonia ya infxn ka sign hai? Thoda simple samjhao.,O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0157,"Doctor, right/left chest side me pani ya fluid hai kya? Thoda simple samjhao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,medium
OPENI_0158,kyaa report me pneumonia ya infection ka sign hai? Dil se related issue ka doubt bhi hai. Thoda simple samjhao.,O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",medium
OPENI_0159,"Please explain: Doctor, Dil ka size bada dikh raha hai ky?",O003,Mild cardiomegaly with pulmonary vascular congestion.,low
OPENI_0160,Report me koi acute issue nahi hai kya? jaldi batao.,O004,No acute cardiopulmonary abnormality detected.,high
OPENI_0161,"Doctor, Doctor, right/left chest side me pani ya fluid hai ky? Thoda simple samjhao.",O005,Moderate right pleural effusion with compressive atelectasis.,medium
OPENI_0162,kya report me pneumonia ya infec ka sign hai? Dil se related issue ka doubt bhi hai. Thoda simple samjhao.,O006,Dense right lower lobe consolidation with air bronchograms.,medium
OPENI_0163,"Doctor, Doctor, right/left chest side me pani ya fluid hai kya? Mujhe khansi aur bukhar bhi hai. Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O001,Right-sided pleural effusion is present. Heart size is within normal limits.,medium
OPENI_0164,"kyaa report me pneumonia ya infec ka sign hai? Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O002,"Left lower lobe consolidation is noted, suspicious for pneumonia.",medium
OPENI_0165,Dil ka size bada dikh raha hai kya? Cough fever ke symptoms bhi chal rahe hai. Thoda simple samjhao.,O003,Mild cardiomegaly with pulmonary vascular congestion.,medium
OPENI_0166,"Doctor, Report me koi acute issue nahi hai kya? Heart beat fast lag rahi hai, chest pressure bhi hai. Thoda simple samjhao.",O004,No acute cardiopulmonary abnormality detected.,medium
