item_id,patient_question,answer_text,extractor_concepts,wrong_concepts,missed_concepts,appropriateness,_hidden_arm,_hidden_pair_id,_hidden_tertile
A011,"Mere paas sirf 6 din pehle hi ek baby hua hai. Mai pehle 3 dino tak theek thi hospital me, lekin jab mai ghar aayi toh mujhe sujan hone lagi. Ab meri ankho me hi sujan hai lekin chest me discomfort ho raha hai. Please doctor, dekhiye is affected area ki image neeche. Meri saanso me kuch chubh raha hai aur saans lene me uncomfortable feel ho raha hai. Maine BP check karne ka decide kiya aur vo 137/77 hai aur dil ki dhadkan 45 hai. Normally toh mera BP 90/60 rehta hai, ab mai kya karu?","Beta, tumhare symptoms aur BP 137/77 mmHg ka mazaak nahi hai. Ye pressure bahut high hai, aur dil ki dhadkan 45 hai, jo normal se kam hai. Chest discomfort aur saans lene me uncomfortable feel hoga, yeh symptoms chest pain ya heart attack ke liye ho sakte hain. Humein yeh pata chal gaya hai ki tumhari abdominal wall hernia hai, lekin ismein chest symptoms ke liye koi evidence nahi hai. Humein yeh pata chal gaya hai ki tumhari BP normal se 87/47 mmHg high hai. Hum tumhare chest symptoms aur high BP ke liye ek doctor ko bulayenge.",pain,,,,grounded,P00477,low
A012,"Mujhe il ho rahi hai pichle 2 saalon se. Cea 12.69 hai aur sab check sahi hai. Mera blood work off hai, red blood cells kam hai, mcv off hai. Liver reading badhne lag gayi hai. Meri neck par ek red scaley rash aati hai aur jati hai. Bhot weight lose kia hai, raat ko pasina aata hai, pure body mein khujli hoti hai aur glands neck mein bhot swollen hote rehte hain. Kripya dekhein something happened on neck. Thoda madat chahiye.","Bhai sahab, main aapki baat samajh gaya hoon. Aapke symptoms bahut hi ghatiya hain. Main sochta hoon ki aap thyroid problem ke shikaar ho sakte hain. Neck par red scaley rash aur swollen glands neck mein aane ka matlab hai ki thyroid gland problem ho sakti hai. Aapko thyroid test karwana chahiye aur doctor se milna chahiye.","erythema, rash, swelling",,,,zero_shot,P00912,low
A013,"Hi, maine abhi notice kiya hai ki meri beti ke left hand side me ek ganth hai - Doctor Please look at the image of patient kuch issue hai mere gale me below woh ganth lagti hai aur use ek taraf se double chin lagti hai. Maine use chua hai aur woh dabri jaati hai. Use chune par woh uncomfortable lagti hai par kehti hai ki dard nahi hota. Uski umr 28 mahine hai aur uske kandhe ke niche uske bazu me lymphagoma hai.","Arre bhai, maine dekha hai ki tumhara beta ki umr 28 mahine hai aur uski left hand side me ek ganth hai. Iske baare mein kuchh confirm nahi kar sakta, kyunki clinical evidence mein koi jankari nahin hai jo is samasya se judi ho. Lekin tumhara beta ke gale me lymphagoma hai, jo kuchh normal hai.",(none),,,,grounded,P01364,low
A014,"Hi dr. Samuel mujhe kuch samay se mere skin ke problems ho rahe hain, mujhe chinta ho rahi hai kyunki ye din ba din badh rahi hai. Mere arms and neck par prickly heat type ki problem hoti hai, mere be","Beta, aapke symptoms ko dekhkar, mujhe lagta hai ki aapke paas bullous mastocytosis ho sakta hai, jismein skin par blisters aur itching hoti hai. Aapke arms, neck, belly, thighs, aur legs par jo prickly heat type ki problem aur ezema jaisa rash hai, wo is condition ke symptoms ho sakte hain. Lekin, aapke thigh par jo protruding sore lump hai, uske bare mein mujhe clinical evidence mein koi information nahin mila, isliye main iske bare mein kuch nahin keh sakta.","mass, pruritus, rash",,,,grounded,P01384,medium
A015,"Mere chin par kam se kam teen hafte se ek rash hai. Shuru me ek chota sa sujan tha jo keede ke katne jaisa khujla raha tha lekin jab maine use khujaya toh fail gaya. Kuch hisse par rash lal hai aur skin neeche ki taraf hard hai lekin bahut saare area par flat blisters aur skin spongy hai. Ye jalta hai aur khujlata hai aur bahut dard hota hai. Dard ke karan maine ek poore weekend bed me bitaya hai, jiske wajah se mujhe rona aaya. Main cortisone creams aur ointments, topical aur oral antibiotics aur oral prednisone try kar chuka hoon. Main use par topicle dard kam karne wale cheezein bhi try ki hai lekin jalti aur dard ko sirf baraf se rok sakte hai. Main bahut pareshan hoon. Iss hafte mujhe doctor ke paas jaana hai lekin main toh pagal ho raha hoon.","Bhai, mujhe lagta hai ki aapke symptoms bahut serious hain. Aapke rash ke bare mein, maine suna hai ki woh ek chota sa sujan tha, lekin jab aapne use khujaya toh fail gaya. Iske baad rash lal ho gaya aur skin neeche ki taraf hard ho gayi hai. Yeh symptoms herpes zoster (shingles) jaisa lagta hai, jo ek viral infection hai. Main aapko ek dermatologist ke paas jana chahunga, woh aapki diagnosis karne aur treatment ke liye sahi tareeke se madad kar sakte hain.","infection, rash, viral",,,,zero_shot,P02263,medium
A016,"Namaste, mere lower abdomen area ke upar pelvic area ke just upar black spots hai aur kuch rash spots hain hathon par jo chote chote bumps se bane hue hain aur kuch jagah par skin uthi hui lag rahi hai aur andar se black dikh raha hai. Jab main workout karte waqt slim belt aur sauna suit pehenti hoon. Kya ye kisi tarah related hai aur ye kya ho sakta hai. Main ek female hoon. Iske liye neeche attach ki gayi image hai.","Namaste, main aapki baat samajhne ki koshish karoonga. Aapke symptoms ke liye kuch possible reasons ho sakte hain. Ye black spots aur rash spots hathon par, aur skin uthi hui lag rahi hai, iska karan aapke workout ke liye use kiye gaye sauna suit aur slim belt ho sakte hain. Ye materials aapke skin ko irritation kar sakte hain. 

Aur, aapke lower abdomen aur pelvic area ke black spots ke liye, iska karan aapke hriday aur vyavastha pranaali ke beech sambandh ho sakta hai. Lekin, iske liye tootne ka koi vishesh karan nahin hai. Main aapko ek doctor se milne ki salah deta hoon, woh aapke symptoms ke liye behtar tareeke se diagnosis kar sakte hain.",rash,,,,zero_shot,P02278,medium
A017,"Mujhe kuch samay se gale ka ek prakar ka undiagnosed infection hai jise maine thoda samay ke liye ignore kar diya tha.Shuru mein mere tonsils suj gaye the. Lekin kuch samay ke bina kisi ilaj ke, mere gale ka infection mere muh aur masudon tak pahunch gaya hai. Mere muh ka rang pila ho gaya hai aur patle spider web veins mere gale ke agle hisse ko cover kar rahe hain. Please doctor, neeche diye gaye muh ko dekhein. Aur mere muh ke chhat ko yellow pigment hai. Mujhe haal mein antibiotics likhe gaye the, lekin unse koi madad nahi hui. Mujhe kuch kaano mein dard bhi ho raha hai. Main bahut pareshan hoon. Mere masude bhi piley ho gaye hain aur ab unmein sensitivity hai.","Arre bhai, main samajh gaya. Aapke symptoms bahut hi ghatiya hain. Aapka tonsil infection badh gaya hai aur ab aapke muh mein jaanakarshak symptoms hain, jaise ki yellow pigment aur spider web veins. Yeh symptoms kuchh aur bhi ghatiya ho sakte hain, jaise ki sinusitis ya pharyngitis. Main aapko ek specialist se milne ke liye daavat dunga, jaise ki ENT specialist. Vah aapki symptoms ka theek se tareeka se diagnosis kar payenge aur aapko upchar kar payenge.","infection, tonsillitis",,,,zero_shot,P00252,high
A018," Namaste doctor, ek hafta ya usse zyada se main so nahi pa rahi hoon. Jab main so rahi hoti hoon, tab khud ko jaga leti hoon. Lagta hai jaise koi apnoea event ho raha hai lekin mujhe ye pata nahi hai ki ye related hai yahi koi badi samasya hai. Iss hafte main doctor ke paas ja rahi hoon lekin online opinion lena chahti hoon, especially apne tonsils ke normal ya abnormal hone ke sambandh mein. Mujhe koi tonsil pain nahi ho raha hai lekin woh area normal se thoda jyada swollen ya constricted lag raha hai. Uski image below attached hai.","Namaste beta, maine aapki problem ko suna hai. Aapke symptoms, jaise ki apneepan ki samasya, isse aapke halsi ke andar ki samasya se juda ho sakta hai. Aapke ENT examination mein right maxillary sinus tenderness present hai, jisse aapke halsi ke andar ki samasya ki sambhavana hai. Lekin aapke tonsils ke sambandh mein koi specific information nahi di gayi hai. Main aapko kahaunga ki aapke doctor se baat karne ke liye aapko apne halsi ke andar ki samasya ke liye check-up karwana chahiye.",pain,,,,grounded,P02678,low
A019,"Meri poti ko chicken pox ka vaccine laga chuka hai lekin usko March ke shuruwat mein hi chicken pox ho gaya. Usne doctor ke paas jaake confirm karaya ki chicken pox hai aur usne iske liye anitiboitc liya. Rash kabhi blister nahi ban raha hai aur abhi bhi uske paas rash hai aur itch bhi ho rahi hai. Kripya doctor, dekhiye is vartaman condition ko. Kya ye normal hai? Aur use kaise madad kar sakte hain?","Arre bhai, aapki chinta karna nahin chahiye. Chicken pox ke baad rash ka itch hua rehta hai. Lekin agar rash blister nahin ban raha hai, to yeh thoda unusual hai. Aapko doctor se phir se milna chahiye aur unhe iske baare mein puchna chahiye. Shyad unhe antibiotics ke alawa koi aur treatment diya jayega.","pruritus, rash",,,,zero_shot,P00154,medium
A020,"Hi, pichle 24 ghante mein mere jeebh ke dono taraf aur jeb mein kai abnormally large aur painful ulcers develop ho gaye hain. Pichle 6 ghante mein ek kaan mein dard bhi shuru ho gaya hai, ek taraf jeebh mein sujan hai, gale mein glands suj gaye hain aur swallowing mein difficulty ho rahi hai.Please dekhein something happened on the neck below. Main bahut stress mein bhi hoon aur soch raha hoon ki kya yeh uska karan hai, aur agar nahi toh phir kya hai.","Arre bhai, aapki baat sunke maine kuch socha hai. Aapke symptoms bahut hi ghatiya hain. Yeh ulcers aur dard aapke jeebh aur jeb mein ho rahe hain, isse lagta hai ki aapko viral infection ho sakti hai, jaise ki herpes zoster ya mononucleosis. Aur aapke kaan mein dard aur gale mein glands ki sujan, yeh symptoms viral infection ya meningitis ka bhi sambhavana hai. Main aapko ek doctor ke paas le jana chahunga, woh aapke symptoms ka theek se treatment kar sakte hain.","infection, viral",,,,zero_shot,P00210,high
A021,"AI feel choked up in the neck area, and have a hard time swallowing liquid. Sometimes the sensation goes away for a day, but returns and gets worse as the day goes along. My neck makes a noise similar to a hungry stomach. Along with this, which started about 2 years ago, I came down with chronic hives, so I assumed it was hives causing my throat to swell because I ve had my feet and knees also swell up.Please doctor see the current condition below . Also, I ve found that I can t seem to get enough sleep. I force myself up on workdays, however, on days off I will sleep until noon or 1 pm, and even then, it s difficult to get out of bed. I also have been losing quite a bit of hair, and have itchy welts throughout my scalp...HELP!!!

Maine feel kiya ki mere gale ke area me choked up hai aur liquid nigalne me mushkil ho rahi hai. Kabhi-kabhi ye ahsaas ek din ke liye chala jata hai, lekin wapas aata hai aur din bhar badhta hai. Mere gale se awaz aati hai jo ek bhooke pet ki awaz ke jaisi hoti hai. Iske saath, jiska shuru hone mein lagbhag 2 saal ho gaye, mujhe chronic hives bhi ho gayi, isliye maine ye samjha ki mujhe hives ke karan gale suj gya hai kyunki mere paanv aur ghutne bhi suj gaye hai. Please doctor dekhiye is vartaman condition ko below. Aur maine ye bhi paya hai ki mujhe nei sona nahi ho raha hai. Workdays mein main khudko uthata hoon, lekin chhuttiyo mein main dopehar ya 1 baje tak sota hoon aur uske baad bhi bed se uthna mushkil hai. Mere balon kaafi jyada gir rahe hai aur mere scalp par itching ho rahi hai...HELP!!!","Beta, aapke symptoms bahut hi ghatiya hain. Aapke gale mein choked up hona aur liquid nigalne mein mushkil ho rahi hai, iska koi ek bhi reason nahin hai, lekin yeh symptoms thyroid problem ya acid reflux ke karan ho sakte hain. Aapke hives aur swelling ke symptoms bhi thyroid problem ya allergic reactions ke karan ho sakte hain. Aur aapke sleep aur hair loss ke symptoms depression ya hormonal imbalance ke karan ho sakte hain. Main aapko ek specialist ke paas le jana chahunga, woh aapke symptoms ko aur vishleshan karke aapko sahi treatment de payenge.","allergy, swelling",,,,zero_shot,P01013,low
A022,"Mujhe bahut jyada dikkat ho rahi hai keede ke katne se, bahar. Kabhi koi problem nahi hoti thi, is saal shuru hui hai. Yahan humare paas machar, bichua, kali machar, cheete aur ghode machar hai. Mujhe sahi tarike se nahi pata ke kaun mujhe kat raha hai. Mujhe ek normal bug welt hota hai, phir kuch ghante baad wo laal ho jata hai, hives ban jate hain, suj jate hain aur dard karte hain. Mujhe do din pehle ek katne ki wajah se pinjre mein dard ho raha hai aur abhi bhi wo lal, suj gaya hai. Sujan pair ke upar se upar tak hai.Please doctor dekhiye is vartaman condition ko below. Mere pindli mein bhi ek kat gaya hai aur agar aap dabate hain to bahut dard hota hai, ab wo laal ho raha hai aur dard kar raha hai. Mujhe chakkar bhi aate hain aur jab zyada ho jaye to main benedryl le rahi hoon. Kya koi wajah hai ki itni badi reactions ho rahi hain mujhe itni sudden tarike se.","Bhai, main sun raha hoon. Aapke symptoms ke liye, main kuchh cheezein dekh raha hoon. Aapke paas ek katne ki wajah se pinjre mein dard ho raha hai, aur abhi bhi wo laal, suj gaya hai. Aapke pindli mein bhi ek kat gaya hai, aur dabate par bahut dard hota hai. 

Aapke symptoms bahut hi similar hain, jaise ki ek katne ki wajah se hua hai, phir laal ho jata hai, hives ban jate hain, suj jate hain aur dard karte hain. Ismein ek cheez hai jo mujhe samajh aati hai, lekin main isey confirm nahin kar sakta. Aapke symptoms ke liye ek possible reason hai, jisse aapke reaction bahut hi sudden ho sakte hain.",(none),,,,grounded,P00821,high
A023,"Namaste, mere lower abdomen area ke upar pelvic area ke just upar black spots hai aur kuch rash spots hain hathon par jo chote chote bumps se bane hue hain aur kuch jagah par skin uthi hui lag rahi hai aur andar se black dikh raha hai. Jab main workout karte waqt slim belt aur sauna suit pehenti hoon. Kya ye kisi tarah related hai aur ye kya ho sakta hai. Main ek female hoon. Iske liye neeche attach ki gayi image hai.","Namaste, main aapki baat samajh gaya hoon. Aapke symptoms aur uplabdh clinical evidence ke anusar, main kuchh cheezein bat sakta hoon. Aapke paas itchy lesions hain jo ek saal se hai, aur yeh chest, arm, aur lower back par hain. Histopathological examination ke anusaar, aapke paas elastic fibre loss aur multinucleated giant cells ke saath histiocyte aur lymphocyte hain. Yeh symptoms granuloma annulare, leprosy, annular sarcoid, aur actinic granuloma ke anusaar hai. Lekin, aapke paas topikal steroid ke saath koi improvement nahin hui hai. Main aapko koi specific diagnosis nahin de sakta, lekin aapko ek dermatologist se milne ki zaroorat hai.","lesion, pruritus",,,,grounded,P02278,medium
A024,"Hum ye kaise decide karen ki ye shingles ka case hai ya contact dermatitis ka case hai. Full body rash hai, kuch khule hai, kuch scabs hai, ER doctors ka koi madad nahi kar paya, PCP review ke liye available nahi hai. Photos dekh rahe the aur lagta hai ki ye shingles ne mere husband ko attack kiya hai! Lekin ye bhi lag raha hai ki ye ek dermatitis problem hai, jise mere ek dost ko char saal se diagnose nahi kiya gaya hai! Rash ke saath bahut jyada itching bhi hai especially on legs and arms. Kripya dekhein doctor image of the affected area ko below .Woh mujhse keh raha hai ki woh jitna paani pee raha hai utna void nahi kar raha hai aur urine ka color bhi kaafi prominent hai. Main is Wednesday se jab se yahan se bahar gayi hoon aur abhi Tuesday night hai. Kal hum kahan se shuru karein.","Arre bhai, main samajh raha hoon ki aapko kuch confusion hai. Shingles aur contact dermatitis dono hi rash ka ho sakta hai, lekin symptoms alag-alag hote hain. Jyada itching, scabs, aur rash ke saath urine ka color badalna shingles ka kuchh indicator hai. Aapko dermatologist se milkar dekhein, lekin agar aapko lagta hai ki rash bahut jaldi badh raha hai, to humein emergency mein bhi dekhein.","dermatitis, pruritus, rash",,,,zero_shot,P00722,low
A025,"Mujhe lagbhag ek mahine pehle concrete par gir gaya tha aur apni ghutne ko bahut zor se chot lagi thi. Thodi der tak dard hua tha aur thoda sa suj gaya tha.Please doctor dekhiye is image ko, sujan fir kam ho gayi thi lekin yeh kuch last days se fir se dard kar raha hai aur ab wahin jagah par ek ganth hai jahan maine chot lagayi thi. Iska matlab kya hai aur iska ilaj kaise karna chahiye?.","Bhai, aapke symptoms aur image ke anusaar, mujhe lagta hai ki aapke patellar tendon mein distal avulsion ho sakta hai. Iska matlab hai ki patellar tendon ki distal jagah se tibial tuberosity se chot lag gayi hai. Iska ilaj karne ke liye aapko operation ki zaroorat ho sakti hai, jismein tendon ko refashion kiya jayega aur usse tibial tuberosity se anchor kiya jayega.",(none),,,,grounded,P01560,high
A026,"Mere pati ko ek hafte se upper jaw pain (right side) ho raha hai aur uske chehre (upper lip, cheeks, chin) mein swelling 2 din se ho rahi hai. Please doctor, dekhein is vartaman condition ko. Aaj emergency room mein jaane par allergic reaction ke baare mein puchne par uska blood pressure 162 over 119 nikla. Mujhe chinta hai.","Arre bhai, aapko ek hafte se upper jaw pain aur 2 din se chehre ke swelling ke liye chinta hai. Lekin, aapke clinical evidence ke anusaar, aapke left facial laceration aur naso-orbital ethmoidal fracture ke liye urgent treatment kiya gaya hai. Aapke left eye mein intraocular pressure badhaya hai, aur ocular muscle entrapment ka ilaaj kiya gaya hai. Aapke blood pressure mein koi allergic reaction ka lakshan nahin hai, lekin aapke high blood pressure ka ilaaj kiya jana chahiye.","fracture, pain, swelling",,,,grounded,P00282,low
